video_id,title,published_at,default_thumbnail_url,large_thumbnail_url
1B9c916aaq8,ロストワンの号哭[ゲームサイズ ver.]  / 鏡音リン × 巡音ルカ × MEIKO,2022-08-12T04:49:50Z,https://i.ytimg.com/vi/1B9c916aaq8/default.jpg,https://i.ytimg.com/vi/1B9c916aaq8/hqdefault.jpg
diDsFjpV8yw,てらてら / Leo/need × 初音ミク,2022-07-21T09:02:45Z,https://i.ytimg.com/vi/diDsFjpV8yw/default.jpg,https://i.ytimg.com/vi/diDsFjpV8yw/hqdefault.jpg
3VT85q-E-UU,少女レイ / MORE MORE JUMP！ × 初音ミク,2022-07-17T09:02:14Z,https://i.ytimg.com/vi/3VT85q-E-UU/default.jpg,https://i.ytimg.com/vi/3VT85q-E-UU/hqdefault.jpg
t1XM0ECUqTE,ドクター＝ファンクビート / Vivid BAD SQUAD × KAITO,2022-07-07T01:11:28Z,https://i.ytimg.com/vi/t1XM0ECUqTE/default.jpg,https://i.ytimg.com/vi/t1XM0ECUqTE/hqdefault.jpg
_oe2F3tgKIk,ぼうけんのしょがきえました！[Long ver.] / ワンダーランズ×ショウタイム × 鏡音リン × 鏡音レン,2022-06-23T08:52:32Z,https://i.ytimg.com/vi/_oe2F3tgKIk/default.jpg,https://i.ytimg.com/vi/_oe2F3tgKIk/hqdefault.jpg
2Ii7UBMxWVw,バグ / 25時、ナイトコードで。 × 鏡音レン,2022-06-15T09:48:16Z,https://i.ytimg.com/vi/2Ii7UBMxWVw/default.jpg,https://i.ytimg.com/vi/2Ii7UBMxWVw/hqdefault.jpg
g6hGN-WNig0,心拍数♯0822 / Leo/need × 初音ミク,2022-06-08T09:00:02Z,https://i.ytimg.com/vi/g6hGN-WNig0/default.jpg,https://i.ytimg.com/vi/g6hGN-WNig0/hqdefault.jpg
BUyrhLRzAwU,Awake Now / Vivid BAD SQUAD × 初音ミク,2022-05-30T09:00:23Z,https://i.ytimg.com/vi/BUyrhLRzAwU/default.jpg,https://i.ytimg.com/vi/BUyrhLRzAwU/hqdefault.jpg
E5Wu8Ir6kdQ,月光 / Vivid BAD SQUAD × MEIKO,2022-05-20T09:00:27Z,https://i.ytimg.com/vi/E5Wu8Ir6kdQ/default.jpg,https://i.ytimg.com/vi/E5Wu8Ir6kdQ/hqdefault.jpg
xBVIHNosBTg,ミルククラウン・オン・ソーネチカ / MORE MORE JUMP！ × 初音ミク,2022-05-23T09:00:13Z,https://i.ytimg.com/vi/xBVIHNosBTg/default.jpg,https://i.ytimg.com/vi/xBVIHNosBTg/hqdefault.jpg
I36IQ3cEPAo,威風堂々 / Vivid BAD SQUAD × KAITO,2022-04-25T08:59:10Z,https://i.ytimg.com/vi/I36IQ3cEPAo/default.jpg,https://i.ytimg.com/vi/I36IQ3cEPAo/hqdefault.jpg
giOsLry_orw,88☆彡 / ワンダーランズ×ショウタイム × KAITO,2022-04-11T09:01:42Z,https://i.ytimg.com/vi/giOsLry_orw/default.jpg,https://i.ytimg.com/vi/giOsLry_orw/hqdefault.jpg
t5c8D1xbXtw,心予報 / MORE MORE JUMP！ × 初音ミク,2022-04-06T09:01:43Z,https://i.ytimg.com/vi/t5c8D1xbXtw/default.jpg,https://i.ytimg.com/vi/t5c8D1xbXtw/hqdefault.jpg
0BHY0Gs0ZZM,メタモリボン / MORE MORE JUMP！ × 鏡音リン,2022-03-29T09:22:00Z,https://i.ytimg.com/vi/0BHY0Gs0ZZM/default.jpg,https://i.ytimg.com/vi/0BHY0Gs0ZZM/hqdefault.jpg
eLIUBridZsw,ニジイロストーリーズ / ワンダーランズ×ショウタイム × MEIKO × KAITO,2022-03-16T09:49:08Z,https://i.ytimg.com/vi/eLIUBridZsw/default.jpg,https://i.ytimg.com/vi/eLIUBridZsw/hqdefault.jpg
babaG-xuBQM,サラマンダー / 東雲彰人 & 東雲絵名 × 初音ミク,2022-04-15T08:09:45Z,https://i.ytimg.com/vi/babaG-xuBQM/default.jpg,https://i.ytimg.com/vi/babaG-xuBQM/hqdefault.jpg
eb46opRRyLc,僕らまだアンダーグラウンド / Leo/need × 初音ミク,2022-03-04T09:45:19Z,https://i.ytimg.com/vi/eb46opRRyLc/default.jpg,https://i.ytimg.com/vi/eb46opRRyLc/hqdefault.jpg
IPIwkhKdQxM,Peaky Peaky/Leo/need × KAITO,2022-02-26T12:26:33Z,https://i.ytimg.com/vi/IPIwkhKdQxM/default.jpg,https://i.ytimg.com/vi/IPIwkhKdQxM/hqdefault.jpg
aFx6y9HxDt0,ナンセンス文学 / ワンダーランズ×ショウタイム × 鏡音レン,2022-03-04T09:45:55Z,https://i.ytimg.com/vi/aFx6y9HxDt0/default.jpg,https://i.ytimg.com/vi/aFx6y9HxDt0/hqdefault.jpg
jPXAgWkqbo4,徳川カップヌードル禁止令 / 草薙寧々 & ネネロボ × ミクダヨー & 鏡音レン & KAITO,2022-03-16T10:18:12Z,https://i.ytimg.com/vi/jPXAgWkqbo4/default.jpg,https://i.ytimg.com/vi/jPXAgWkqbo4/hqdefault.jpg
ZVnD_K972P8,どりーみんチュチュ/MORE MORE JUMP！ × 巡音ルカ,2022-02-14T09:37:00Z,https://i.ytimg.com/vi/ZVnD_K972P8/default.jpg,https://i.ytimg.com/vi/ZVnD_K972P8/hqdefault.jpg
0qb27SBWZ38,コスモスパイス / 天馬咲希 & 天馬司 × 初音ミク,2022-04-15T08:09:27Z,https://i.ytimg.com/vi/0qb27SBWZ38/default.jpg,https://i.ytimg.com/vi/0qb27SBWZ38/hqdefault.jpg
M_ijFuoASt0,トリコロージュ/25時、ナイトコードで。 × 初音ミク,2022-01-31T02:43:28Z,https://i.ytimg.com/vi/M_ijFuoASt0/default.jpg,https://i.ytimg.com/vi/M_ijFuoASt0/hqdefault.jpg
ZiZkXbivmh4,チュルリラ・チュルリラ・ダッダッダ！/ワンダーランズ×ショウタイム,2022-01-26T05:47:00Z,https://i.ytimg.com/vi/ZiZkXbivmh4/default.jpg,https://i.ytimg.com/vi/ZiZkXbivmh4/hqdefault.jpg
a-Xnb5Iw6Is,青色絵具 / 日野森志歩 & 日野森雫 × 初音ミク,2022-04-15T08:09:59Z,https://i.ytimg.com/vi/a-Xnb5Iw6Is/default.jpg,https://i.ytimg.com/vi/a-Xnb5Iw6Is/hqdefault.jpg
