date,count
2022-08-24,1684166
2022-08-25,1689253
2022-08-26,1694327
2022-08-27,1699695
2022-08-28,1704672
2022-08-29,1709208
2022-08-30,1713557
2022-08-31,1717883
2022-09-01,1721956
2022-09-02,1725828
2022-09-03,1730570
2022-09-04,1735300
2022-09-05,1739360
2022-09-06,1743674
2022-09-07,1747624
2022-09-08,1751737
2022-09-09,1755467
2022-09-10,1759897
2022-09-11,1764236
2022-09-12,1768040
2022-09-13,1771760
2022-09-14,1775572
2022-09-15,1779674
2022-09-16,1783615
2022-09-17,1788046
2022-09-18,1792344
2022-09-19,1796525
2022-09-20,1800341
2022-09-21,1804231
2022-09-22,1808541
2022-09-23,1813706
2022-09-24,1818435
2022-09-25,1823288
2022-09-26,1827515
2022-09-27,1832565
2022-09-28,1837399
2022-09-29,1842268
2022-09-30,1846213
2022-10-01,1851154
2022-10-02,1856378
2022-10-03,1860898
2022-10-04,1865958
2022-10-05,1871150
2022-10-06,1876259
2022-10-07,1881540
2022-10-08,1887372
2022-10-09,1892644
2022-10-10,1898529
2022-10-11,1903932
2022-10-12,1908860
2022-10-13,1913810
2022-10-14,1918698
2022-10-15,1923448
2022-10-16,1928383
2022-10-17,1932870
2022-10-18,1937313
2022-10-19,1941422
2022-10-20,1945595
2022-10-21,1949392
2022-10-22,1953586
2022-10-23,1957921
2022-10-24,1961977
2022-10-25,1965900
2022-10-26,1969505
2022-10-27,1972881
2022-10-28,1976570
2022-10-29,1980697
2022-10-30,1985126
2022-10-31,1989055
2022-11-01,1992706
2022-11-02,1996283
2022-11-03,2000434
2022-11-04,2003841
2022-11-05,2007326
2022-11-06,2010786
2022-11-07,2014320
2022-11-08,2017396
2022-11-09,2020469
2022-11-10,2023717
2022-11-11,2026924
2022-11-12,2031057
2022-11-13,2035175
2022-11-14,2038729
2022-11-15,2042365
2022-11-16,2045697
2022-11-17,2048946
2022-11-18,2051920
2022-11-19,2055179
2022-11-20,2058430
2022-11-21,2061283
2022-11-22,2064357
2022-11-23,2067815
2022-11-24,2070916
2022-11-25,2073839
2022-11-26,2077058
2022-11-27,2080585
2022-11-28,2083471
2022-11-29,2086671
2022-11-30,2090112
2022-12-01,2093105
2022-12-02,2096208
2022-12-03,2099527
2022-12-04,2103075
2022-12-05,2106075
2022-12-06,2109181
2022-12-07,2112121
2022-12-08,2115145
2022-12-09,2118153
2022-12-10,2121657
2022-12-11,2124856
2022-12-12,2127927
2022-12-13,2130805
2022-12-14,2133575
2022-12-15,2136402
2022-12-16,2139207
2022-12-17,2142159
2022-12-18,2145004
2022-12-19,2147534
2022-12-20,2150262
2022-12-21,2153114
2022-12-22,2155883
2022-12-23,2158681
2022-12-24,2161304
2022-12-25,2163916
2022-12-26,2166844
2022-12-27,2169882
2022-12-28,2172823
2022-12-29,2175648
2022-12-30,2178374
2022-12-31,2181125
2023-01-01,2183208
2023-01-02,2185483
2023-01-03,2187995
2023-01-04,2190559
2023-01-05,2193304
2023-01-06,2195915
2023-01-07,2198750
