date,count
2022-08-24,415893
2022-08-25,420266
2022-08-26,424621
2022-08-27,429570
2022-08-28,434546
2022-08-29,438596
2022-08-30,442764
2022-08-31,446565
2022-09-01,449681
2022-09-02,452315
2022-09-03,455937
2022-09-04,459137
2022-09-05,461606
2022-09-06,464063
2022-09-07,466427
2022-09-08,468845
2022-09-09,470990
2022-09-10,473495
2022-09-11,476132
2022-09-12,478124
2022-09-13,479943
2022-09-14,481797
2022-09-15,483830
2022-09-16,485596
2022-09-17,487826
2022-09-18,490224
2022-09-19,492613
2022-09-20,494536
2022-09-21,496492
2022-09-22,498875
2022-09-23,501783
2022-09-24,504304
2022-09-25,506980
2022-09-26,509150
2022-09-27,511209
2022-09-28,513273
2022-09-29,515927
2022-09-30,518279
2022-10-01,521304
2022-10-02,524611
2022-10-03,527089
2022-10-04,529745
2022-10-05,532236
2022-10-06,534678
2022-10-07,537101
2022-10-08,539969
2022-10-09,542572
2022-10-10,545479
2022-10-11,547751
2022-10-12,549861
2022-10-13,551821
2022-10-14,553609
2022-10-15,555698
2022-10-16,557941
2022-10-17,559882
2022-10-18,561645
2022-10-19,563181
2022-10-20,564886
2022-10-21,566377
2022-10-22,568273
2022-10-23,570183
2022-10-24,571763
2022-10-25,573180
2022-10-26,574540
2022-10-27,575913
2022-10-28,577539
2022-10-29,579528
2022-10-30,581874
2022-10-31,583794
2022-11-01,585435
2022-11-02,587143
2022-11-03,589117
2022-11-04,590610
2022-11-05,592434
2022-11-06,594751
2022-11-07,596909
2022-11-08,598257
2022-11-09,599495
2022-11-10,600749
2022-11-11,601875
2022-11-12,603499
2022-11-13,605168
2022-11-14,606437
2022-11-15,607545
2022-11-16,608671
2022-11-17,609807
2022-11-18,610870
2022-11-19,612107
2022-11-20,613368
2022-11-21,614478
2022-11-22,615494
2022-11-23,616838
2022-11-24,618046
2022-11-25,619152
2022-11-26,620280
2022-11-27,621469
2022-11-28,622408
2022-11-29,623522
