date,count
2023-01-15,221528
2023-01-16,259141
2023-01-17,289092
2023-01-18,311451
2023-01-19,329746
2023-01-20,347669
2023-01-21,365390
2023-01-22,381560
2023-01-23,395468
2023-01-24,411985
2023-01-25,429025
2023-01-26,441675
2023-01-27,453378
2023-01-28,466481
2023-01-29,479850
2023-01-30,494073
2023-01-31,505864
2023-02-01,516512
2023-02-02,526769
2023-02-03,536272
2023-02-04,546523
2023-02-05,557019
2023-02-06,565995
2023-02-07,574349
2023-02-08,582553
2023-02-09,590004
2023-02-10,598583
2023-02-11,606662
2023-02-12,615338
2023-02-13,622787
2023-02-14,630289
2023-02-15,637596
2023-02-16,643772
2023-02-17,650032
2023-02-18,658323
2023-02-19,666787
2023-02-20,674174
2023-02-21,681634
2023-02-22,688609
2023-02-23,696212
2023-02-24,703008
2023-02-25,710105
2023-02-26,716834
2023-02-27,723974
2023-02-28,730005
2023-03-01,736253
2023-03-02,741913
2023-03-03,748360
2023-03-04,754988
2023-03-05,761779
2023-03-06,767734
2023-03-07,774179
2023-03-08,780340
2023-03-09,785898
2023-03-10,791345
2023-03-11,796912
2023-03-12,802310
2023-03-13,808355
2023-03-14,813958
2023-03-15,819564
2023-03-16,824632
2023-03-17,829650
2023-03-18,835103
2023-03-19,840677
2023-03-20,847262
2023-03-21,853289
2023-03-22,858844
2023-03-23,864005
2023-03-24,869353
2023-03-25,874704
2023-03-26,879837
2023-03-27,885137
2023-03-28,889853
2023-03-29,894946
2023-03-30,900057
2023-03-31,905279
