date,count
2022-08-24,3661371
2022-08-25,3666170
2022-08-26,3670686
2022-08-27,3675487
2022-08-28,3680291
2022-08-29,3684714
2022-08-30,3688965
2022-08-31,3693156
2022-09-01,3697313
2022-09-02,3700794
2022-09-03,3705479
2022-09-04,3710100
2022-09-05,3714010
2022-09-06,3717902
2022-09-07,3721645
2022-09-08,3725375
2022-09-09,3729217
2022-09-10,3733788
2022-09-11,3738587
2022-09-12,3742616
2022-09-13,3746462
2022-09-14,3750555
2022-09-15,3754847
2022-09-16,3758807
2022-09-17,3763566
2022-09-18,3768431
2022-09-19,3773256
2022-09-20,3777404
2022-09-21,3781357
2022-09-22,3785343
2022-09-23,3790086
2022-09-24,3794679
2022-09-25,3799282
2022-09-26,3803403
2022-09-27,3807516
2022-09-28,3811359
2022-09-29,3816254
2022-09-30,3819724
2022-10-01,3823681
2022-10-02,3828237
2022-10-03,3832337
2022-10-04,3836487
2022-10-05,3840648
2022-10-06,3845019
2022-10-07,3849223
2022-10-08,3854068
2022-10-09,3858703
2022-10-10,3863963
2022-10-11,3868250
2022-10-12,3872268
2022-10-13,3876323
2022-10-14,3880244
2022-10-15,3884547
2022-10-16,3889206
2022-10-17,3893553
2022-10-18,3897820
2022-10-19,3901587
2022-10-20,3905611
2022-10-21,3909358
2022-10-22,3913829
2022-10-23,3918477
2022-10-24,3922502
2022-10-25,3926207
2022-10-26,3929680
2022-10-27,3933146
2022-10-28,3937243
2022-10-29,3942133
2022-10-30,3947707
2022-10-31,3952189
2022-11-01,3956413
2022-11-02,3960555
2022-11-03,3965463
2022-11-04,3969306
2022-11-05,3973274
2022-11-06,3977280
2022-11-07,3981065
2022-11-08,3984710
2022-11-09,3988291
2022-11-10,3991893
2022-11-11,3995309
2022-11-12,3999442
2022-11-13,4004106
2022-11-14,4007941
2022-11-15,4011742
2022-11-16,4015490
2022-11-17,4019159
2022-11-18,4022607
2022-11-19,4026546
2022-11-20,4030519
2022-11-21,4033836
2022-11-22,4037163
2022-11-23,4041025
2022-11-24,4044529
2022-11-25,4047605
2022-11-26,4051495
2022-11-27,4055400
2022-11-28,4058800
2022-11-29,4062403
2022-11-30,4065737
2022-12-01,4068923
2022-12-02,4072068
2022-12-03,4075883
2022-12-04,4080449
2022-12-05,4083936
2022-12-06,4087385
2022-12-07,4090918
2022-12-08,4094275
2022-12-09,4097531
2022-12-10,4101465
2022-12-11,4104982
2022-12-12,4108219
2022-12-13,4111334
