date,count
2022-10-24,1
2022-10-25,1
2022-10-26,1
2022-10-27,1
2022-10-28,1
2022-10-29,112309
2022-10-30,452683
2022-10-31,569533
2022-11-01,665320
2022-11-02,741714
2022-11-03,814288
2022-11-04,867662
2022-11-05,919078
2022-11-06,967367
2022-11-07,1014305
2022-11-08,1054600
2022-11-09,1092258
2022-11-10,1127738
2022-11-11,1164088
2022-11-12,1207148
2022-11-13,1249497
2022-11-14,1286193
2022-11-15,1319435
2022-11-16,1351857
2022-11-17,1382378
2022-11-18,1411723
2022-11-19,1443723
2022-11-20,1474325
2022-11-21,1501233
2022-11-22,1527702
2022-11-23,1557629
2022-11-24,1584379
2022-11-25,1609817
2022-11-26,1637322
2022-11-27,1665596
2022-11-28,1691076
2022-11-29,1719047
2022-11-30,1743410
2022-12-01,1765586
2022-12-02,1787071
2022-12-03,1810507
2022-12-04,1833841
2022-12-05,1852827
2022-12-06,1872617
2022-12-07,1891411
2022-12-08,1909883
2022-12-09,1928361
2022-12-10,1949195
2022-12-11,1968146
2022-12-12,1985582
2022-12-13,2002551
