date,count
2022-08-24,1029460
2022-08-25,1035471
2022-08-26,1041185
2022-08-27,1046555
2022-08-28,1051922
2022-08-29,1057297
2022-08-30,1063086
2022-08-31,1068463
2022-09-01,1073436
2022-09-02,1077826
2022-09-03,1083670
2022-09-04,1089540
2022-09-05,1094462
2022-09-06,1099490
2022-09-07,1104121
2022-09-08,1108787
2022-09-09,1113078
2022-09-10,1118274
2022-09-11,1123418
2022-09-12,1127658
2022-09-13,1131577
2022-09-14,1135575
2022-09-15,1139883
2022-09-16,1143767
2022-09-17,1148358
2022-09-18,1152718
2022-09-19,1156947
2022-09-20,1160547
2022-09-21,1164129
2022-09-22,1167890
2022-09-23,1172090
2022-09-24,1176432
2022-09-25,1180926
2022-09-26,1184411
2022-09-27,1188104
2022-09-28,1191918
2022-09-29,1195568
2022-09-30,1198631
2022-10-01,1202752
2022-10-02,1207291
2022-10-03,1211068
2022-10-04,1214982
2022-10-05,1218809
2022-10-06,1222987
2022-10-07,1227241
2022-10-08,1232145
2022-10-09,1236755
2022-10-10,1241757
2022-10-11,1246025
2022-10-12,1250051
2022-10-13,1254394
2022-10-14,1258528
2022-10-15,1262888
2022-10-16,1267935
2022-10-17,1272052
2022-10-18,1276007
2022-10-19,1279829
2022-10-20,1283750
2022-10-21,1287341
2022-10-22,1291847
2022-10-23,1296338
2022-10-24,1299779
2022-10-25,1302947
2022-10-26,1306274
2022-10-27,1309293
2022-10-28,1312699
2022-10-29,1316529
2022-10-30,1320987
2022-10-31,1324300
2022-11-01,1327579
2022-11-02,1330720
2022-11-03,1334167
2022-11-04,1337019
2022-11-05,1340434
2022-11-06,1343499
2022-11-07,1346532
2022-11-08,1349060
2022-11-09,1351781
2022-11-10,1354221
2022-11-11,1356849
2022-11-12,1360777
2022-11-13,1364492
2022-11-14,1367456
2022-11-15,1370377
2022-11-16,1373342
2022-11-17,1376191
2022-11-18,1378933
2022-11-19,1382213
2022-11-20,1385132
2022-11-21,1387534
2022-11-22,1389906
2022-11-23,1392863
2022-11-24,1395294
2022-11-25,1397659
2022-11-26,1400269
2022-11-27,1403050
2022-11-28,1405305
2022-11-29,1407497
2022-11-30,1409560
2022-12-01,1411781
2022-12-02,1413741
2022-12-03,1416235
2022-12-04,1418856
2022-12-05,1420985
2022-12-06,1423091
2022-12-07,1425356
2022-12-08,1427738
2022-12-09,1429982
2022-12-10,1432708
2022-12-11,1434940
2022-12-12,1437012
2022-12-13,1439018
2022-12-14,1441022
2022-12-15,1443087
2022-12-16,1445219
2022-12-17,1447593
2022-12-18,1449871
2022-12-19,1451882
2022-12-20,1454037
2022-12-21,1456388
2022-12-22,1458503
2022-12-23,1460705
2022-12-24,1462918
2022-12-25,1464990
2022-12-26,1467535
2022-12-27,1470004
2022-12-28,1472438
2022-12-29,1474654
2022-12-30,1476758
2022-12-31,1479079
2023-01-01,1480886
2023-01-02,1482988
2023-01-03,1485275
2023-01-04,1487491
2023-01-05,1489691
2023-01-06,1491973
2023-01-07,1494235
2023-01-08,1496445
2023-01-09,1499057
2023-01-10,1501144
2023-01-11,1503567
2023-01-12,1505991
2023-01-13,1508075
2023-01-14,1510629
2023-01-15,1513252
2023-01-16,1515311
2023-01-17,1517360
2023-01-18,1519418
2023-01-19,1521638
2023-01-20,1525140
2023-01-21,1528465
2023-01-22,1531936
2023-01-23,1534855
2023-01-24,1537953
2023-01-25,1540720
2023-01-26,1543307
2023-01-27,1545667
2023-01-28,1548291
2023-01-29,1551023
2023-01-30,1553383
2023-01-31,1555621
2023-02-01,1557902
2023-02-02,1560033
2023-02-03,1562240
2023-02-04,1564707
2023-02-05,1567338
2023-02-06,1569339
2023-02-07,1571461
2023-02-08,1573502
2023-02-09,1575441
2023-02-10,1577531
2023-02-11,1579537
2023-02-12,1581898
2023-02-13,1583850
2023-02-14,1585882
2023-02-15,1588015
2023-02-16,1589791
2023-02-17,1591765
2023-02-18,1594430
2023-02-19,1596954
2023-02-20,1599168
2023-02-21,1601359
2023-02-22,1603384
2023-02-23,1605696
2023-02-24,1607757
2023-02-25,1610049
2023-02-26,1612310
2023-02-27,1614217
2023-02-28,1615923
2023-03-01,1617795
2023-03-02,1619556
2023-03-03,1621569
2023-03-04,1623699
2023-03-05,1625856
2023-03-06,1627693
2023-03-07,1629439
2023-03-08,1631300
2023-03-09,1633078
2023-03-10,1635048
2023-03-11,1637370
2023-03-12,1639440
2023-03-13,1641444
2023-03-14,1643463
2023-03-15,1645622
2023-03-16,1647596
2023-03-17,1649629
2023-03-18,1651550
2023-03-19,1653599
2023-03-20,1655561
2023-03-21,1657501
2023-03-22,1659255
2023-03-23,1661036
2023-03-24,1663295
2023-03-25,1665443
2023-03-26,1667526
2023-03-27,1669669
2023-03-28,1671636
2023-03-29,1673908
2023-03-30,1676141
2023-03-31,1678438
2023-04-01,1680453
2023-04-02,1682511
2023-04-03,1684903
2023-04-04,1687089
2023-04-05,1689428
2023-04-06,1691702
2023-04-07,1693951
2023-04-08,1696322
2023-04-09,1698590
2023-04-10,1700500
2023-04-11,1702314
2023-04-12,1704084
2023-04-13,1705556
2023-04-14,1707244
2023-04-15,1709044
2023-04-16,1710879
2023-04-17,1712444
2023-04-18,1714022
2023-04-19,1715742
2023-04-20,1717321
