date,count
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,58888
2023-01-30,261404
2023-01-31,330055
2023-02-01,381343
2023-02-02,428283
2023-02-03,469699
2023-02-04,513500
2023-02-05,553028
2023-02-06,585034
2023-02-07,614441
2023-02-08,643018
2023-02-09,669477
2023-02-10,696760
2023-02-11,722288
2023-02-12,749069
2023-02-13,772492
2023-02-14,795504
2023-02-15,818835
2023-02-16,838873
2023-02-17,857769
2023-02-18,881634
2023-02-19,905653
2023-02-20,926420
