date,count
2022-08-24,4901547
2022-08-25,4908815
2022-08-26,4915453
2022-08-27,4923217
2022-08-28,4930878
2022-08-29,4938359
2022-08-30,4945293
2022-08-31,4952614
2022-09-01,4959565
2022-09-02,4965853
2022-09-03,4974355
2022-09-04,4983052
2022-09-05,4990336
2022-09-06,4997883
2022-09-07,5004543
2022-09-08,5011238
2022-09-09,5017367
2022-09-10,5024973
2022-09-11,5033224
2022-09-12,5040191
2022-09-13,5046503
2022-09-14,5052759
2022-09-15,5059419
2022-09-16,5065887
2022-09-17,5073070
2022-09-18,5080397
2022-09-19,5087692
2022-09-20,5094125
2022-09-21,5100404
2022-09-22,5106825
2022-09-23,5113944
2022-09-24,5121270
2022-09-25,5128750
2022-09-26,5135023
2022-09-27,5141250
2022-09-28,5147543
2022-09-29,5154028
2022-09-30,5159271
2022-10-01,5165591
2022-10-02,5173299
2022-10-03,5179432
2022-10-04,5185576
2022-10-05,5191720
2022-10-06,5198014
2022-10-07,5204416
2022-10-08,5212085
2022-10-09,5219392
2022-10-10,5226847
2022-10-11,5233161
2022-10-12,5239218
2022-10-13,5245279
2022-10-14,5251132
2022-10-15,5257807
2022-10-16,5264871
2022-10-17,5271204
2022-10-18,5276697
2022-10-19,5281877
2022-10-20,5286937
2022-10-21,5291658
2022-10-22,5297427
2022-10-23,5303378
2022-10-24,5308461
2022-10-25,5313079
2022-10-26,5317714
2022-10-27,5322310
2022-10-28,5327332
2022-10-29,5332420
2022-10-30,5338414
2022-10-31,5343953
2022-11-01,5349326
2022-11-02,5354868
2022-11-03,5361540
2022-11-04,5366762
2022-11-05,5372565
2022-11-06,5377919
2022-11-07,5383411
2022-11-08,5388257
2022-11-09,5393203
2022-11-10,5398031
2022-11-11,5402873
2022-11-12,5409352
2022-11-13,5416380
2022-11-14,5422065
2022-11-15,5427619
2022-11-16,5432870
2022-11-17,5437932
2022-11-18,5442924
2022-11-19,5448955
2022-11-20,5455075
2022-11-21,5460323
2022-11-22,5465427
2022-11-23,5471553
2022-11-24,5476743
2022-11-25,5481341
2022-11-26,5486622
2022-11-27,5492086
2022-11-28,5496501
2022-11-29,5501251
2022-11-30,5505902
2022-12-01,5510439
2022-12-02,5514974
2022-12-03,5520134
2022-12-04,5525618
2022-12-05,5529900
2022-12-06,5534291
2022-12-07,5538583
2022-12-08,5542820
2022-12-09,5546891
2022-12-10,5551920
2022-12-11,5556568
2022-12-12,5560928
2022-12-13,5565412
2022-12-14,5570165
2022-12-15,5574602
2022-12-16,5579221
2022-12-17,5584259
2022-12-18,5589008
2022-12-19,5593263
2022-12-20,5597909
2022-12-21,5602713
2022-12-22,5607593
2022-12-23,5612450
2022-12-24,5617057
2022-12-25,5621774
2022-12-26,5626850
2022-12-27,5631899
2022-12-28,5636628
2022-12-29,5641202
2022-12-30,5645586
2022-12-31,5650344
2023-01-01,5654413
2023-01-02,5658872
2023-01-03,5663706
2023-01-04,5668755
2023-01-05,5673633
2023-01-06,5678529
2023-01-07,5683721
2023-01-08,5689302
2023-01-09,5696139
2023-01-10,5700112
2023-01-11,5707183
2023-01-12,5712981
2023-01-13,5718557
2023-01-14,5725189
2023-01-15,5731793
2023-01-16,5737434
2023-01-17,5742875
2023-01-18,5748483
2023-01-19,5753957
2023-01-20,5759374
2023-01-21,5765241
2023-01-22,5771172
2023-01-23,5776449
2023-01-24,5781965
2023-01-25,5787525
2023-01-26,5793051
2023-01-27,5798744
2023-01-28,5804618
2023-01-29,5810705
2023-01-30,5816513
2023-01-31,5821977
2023-02-01,5827219
