date,count
2022-08-24,4401305
2022-08-25,4410735
2022-08-26,4419876
2022-08-27,4429074
2022-08-28,4437876
2022-08-29,4446888
2022-08-30,4455533
2022-08-31,4464175
2022-09-01,4472704
2022-09-02,4480523
2022-09-03,4490283
2022-09-04,4499879
2022-09-05,4508093
2022-09-06,4516538
2022-09-07,4524604
2022-09-08,4532066
2022-09-09,4539517
2022-09-10,4548366
2022-09-11,4557391
2022-09-12,4565059
2022-09-13,4572098
2022-09-14,4579215
2022-09-15,4587150
2022-09-16,4594992
2022-09-17,4603843
2022-09-18,4613086
2022-09-19,4621931
2022-09-20,4629444
2022-09-21,4637340
2022-09-22,4644940
2022-09-23,4654090
2022-09-24,4663356
2022-09-25,4672990
2022-09-26,4680567
2022-09-27,4688650
2022-09-28,4696499
2022-09-29,4705508
2022-09-30,4713491
2022-10-01,4723139
2022-10-02,4733391
2022-10-03,4742641
2022-10-04,4752200
2022-10-05,4761547
2022-10-06,4771896
2022-10-07,4782962
