date,count
2022-08-24,1171690
2022-08-25,1173605
2022-08-26,1175410
2022-08-27,1177298
2022-08-28,1179097
2022-08-29,1180861
2022-08-30,1182669
2022-08-31,1184414
2022-09-01,1185938
2022-09-02,1187262
2022-09-03,1189108
2022-09-04,1190968
2022-09-05,1192419
2022-09-06,1193921
2022-09-07,1195361
2022-09-08,1196891
2022-09-09,1198278
2022-09-10,1200099
2022-09-11,1201793
2022-09-12,1203189
2022-09-13,1204603
2022-09-14,1206011
2022-09-15,1207520
2022-09-16,1209044
2022-09-17,1210934
2022-09-18,1212769
2022-09-19,1214582
2022-09-20,1216129
2022-09-21,1217687
2022-09-22,1219304
2022-09-23,1221241
2022-09-24,1223246
2022-09-25,1225394
2022-09-26,1226984
2022-09-27,1228732
2022-09-28,1230487
2022-09-29,1232499
2022-09-30,1234224
2022-10-01,1236333
2022-10-02,1238800
2022-10-03,1240691
2022-10-04,1242740
2022-10-05,1244643
2022-10-06,1246872
2022-10-07,1249074
2022-10-08,1251415
2022-10-09,1253495
2022-10-10,1255899
2022-10-11,1257649
2022-10-12,1259368
2022-10-13,1261135
2022-10-14,1262783
2022-10-15,1264744
2022-10-16,1266568
2022-10-17,1268316
2022-10-18,1270009
2022-10-19,1271473
2022-10-20,1273121
2022-10-21,1274520
2022-10-22,1276172
2022-10-23,1277970
2022-10-24,1279416
2022-10-25,1280728
2022-10-26,1282027
2022-10-27,1283308
2022-10-28,1284809
2022-10-29,1286442
2022-10-30,1288086
2022-10-31,1289459
2022-11-01,1290740
2022-11-02,1291992
2022-11-03,1293650
2022-11-04,1294843
2022-11-05,1296181
2022-11-06,1297594
2022-11-07,1298963
2022-11-08,1300235
2022-11-09,1301504
2022-11-10,1302763
2022-11-11,1303960
2022-11-12,1305654
2022-11-13,1307206
2022-11-14,1308566
2022-11-15,1309847
2022-11-16,1311234
2022-11-17,1312603
2022-11-18,1313856
2022-11-19,1315318
2022-11-20,1316752
2022-11-21,1317899
2022-11-22,1319142
2022-11-23,1320643
2022-11-24,1321887
2022-11-25,1323054
2022-11-26,1324402
2022-11-27,1325694
2022-11-28,1326802
2022-11-29,1327896
2022-11-30,1329025
2022-12-01,1330203
2022-12-02,1331317
2022-12-03,1332658
2022-12-04,1333962
2022-12-05,1335061
2022-12-06,1336296
2022-12-07,1337576
2022-12-08,1338849
2022-12-09,1340041
2022-12-10,1341672
2022-12-11,1342806
2022-12-12,1344048
2022-12-13,1345267
2022-12-14,1346463
2022-12-15,1347645
2022-12-16,1348922
2022-12-17,1350404
2022-12-18,1351787
2022-12-19,1352960
2022-12-20,1354627
2022-12-21,1356196
2022-12-22,1357666
2022-12-23,1359087
2022-12-24,1360518
2022-12-25,1361862
2022-12-26,1363370
2022-12-27,1364875
2022-12-28,1366332
2022-12-29,1367675
2022-12-30,1369070
2022-12-31,1370546
2023-01-01,1371660
2023-01-02,1372906
2023-01-03,1374167
2023-01-04,1375586
2023-01-05,1376889
2023-01-06,1378279
2023-01-07,1379736
2023-01-08,1381017
2023-01-09,1382640
2023-01-10,1383957
2023-01-11,1385240
2023-01-12,1386472
2023-01-13,1387782
2023-01-14,1389301
2023-01-15,1390773
2023-01-16,1391947
2023-01-17,1393141
2023-01-18,1394305
2023-01-19,1395435
2023-01-20,1396645
2023-01-21,1398071
2023-01-22,1399482
2023-01-23,1400662
2023-01-24,1401869
2023-01-25,1403159
2023-01-26,1404368
2023-01-27,1405500
2023-01-28,1406902
2023-01-29,1408268
2023-01-30,1409449
2023-01-31,1410605
2023-02-01,1411729
2023-02-02,1412766
2023-02-03,1413973
2023-02-04,1415335
2023-02-05,1416595
2023-02-06,1417728
2023-02-07,1418847
2023-02-08,1420017
2023-02-09,1421007
2023-02-10,1422203
