date,count
2022-08-24,1342129
2022-08-25,1346778
2022-08-26,1351462
2022-08-27,1356291
2022-08-28,1361108
2022-08-29,1365398
2022-08-30,1369648
2022-08-31,1373803
2022-09-01,1377767
2022-09-02,1381322
2022-09-03,1386049
2022-09-04,1390379
2022-09-05,1393915
2022-09-06,1397588
2022-09-07,1401223
2022-09-08,1405271
2022-09-09,1408955
2022-09-10,1413130
2022-09-11,1417176
2022-09-12,1420477
2022-09-13,1423810
2022-09-14,1427256
2022-09-15,1430767
2022-09-16,1434127
2022-09-17,1438148
2022-09-18,1442038
2022-09-19,1445730
2022-09-20,1448937
2022-09-21,1451958
2022-09-22,1455301
2022-09-23,1459491
2022-09-24,1463517
2022-09-25,1467608
2022-09-26,1471077
2022-09-27,1474745
2022-09-28,1478277
2022-09-29,1481966
2022-09-30,1485041
2022-10-01,1489193
2022-10-02,1493345
2022-10-03,1496768
2022-10-04,1500366
2022-10-05,1504077
2022-10-06,1508235
2022-10-07,1512462
2022-10-08,1516745
2022-10-09,1520944
2022-10-10,1525196
2022-10-11,1528593
2022-10-12,1532035
2022-10-13,1535556
2022-10-14,1539034
2022-10-15,1543140
2022-10-16,1547169
2022-10-17,1550823
2022-10-18,1554544
2022-10-19,1558048
2022-10-20,1561908
2022-10-21,1565218
2022-10-22,1569078
2022-10-23,1572885
2022-10-24,1576142
2022-10-25,1579311
2022-10-26,1582396
2022-10-27,1585562
2022-10-28,1589075
2022-10-29,1593035
2022-10-30,1597326
2022-10-31,1601649
2022-11-01,1604940
2022-11-02,1607687
2022-11-03,1610767
2022-11-04,1613162
2022-11-05,1615755
2022-11-06,1618201
2022-11-07,1620505
2022-11-08,1622557
2022-11-09,1624637
2022-11-10,1626709
2022-11-11,1628765
2022-11-12,1631431
2022-11-13,1634035
2022-11-14,1636335
2022-11-15,1638413
2022-11-16,1640494
2022-11-17,1642576
2022-11-18,1644537
2022-11-19,1646773
2022-11-20,1648764
2022-11-21,1650408
2022-11-22,1651982
2022-11-23,1653985
2022-11-24,1655724
2022-11-25,1657349
2022-11-26,1659195
2022-11-27,1661106
2022-11-28,1662681
2022-11-29,1664183
2022-11-30,1665710
2022-12-01,1667238
2022-12-02,1668749
2022-12-03,1670600
2022-12-04,1672491
2022-12-05,1673953
2022-12-06,1675602
2022-12-07,1677350
2022-12-08,1678992
2022-12-09,1680573
2022-12-10,1682536
2022-12-11,1684375
2022-12-12,1686042
2022-12-13,1687709
2022-12-14,1689166
2022-12-15,1690720
2022-12-16,1692323
2022-12-17,1694242
2022-12-18,1696026
2022-12-19,1697484
2022-12-20,1699165
2022-12-21,1700815
2022-12-22,1702516
2022-12-23,1704278
2022-12-24,1705944
2022-12-25,1707654
2022-12-26,1709520
2022-12-27,1711266
2022-12-28,1713027
2022-12-29,1714772
2022-12-30,1716350
2022-12-31,1718091
2023-01-01,1719470
2023-01-02,1721186
2023-01-03,1723000
2023-01-04,1724679
2023-01-05,1726359
2023-01-06,1728047
2023-01-07,1729760
2023-01-08,1731659
2023-01-09,1733861
2023-01-10,1735522
2023-01-11,1737153
2023-01-12,1738847
2023-01-13,1740337
2023-01-14,1742218
2023-01-15,1744114
2023-01-16,1745627
2023-01-17,1747108
2023-01-18,1748585
2023-01-19,1750069
2023-01-20,1751635
2023-01-21,1753374
2023-01-22,1755014
2023-01-23,1756397
2023-01-24,1757830
2023-01-25,1759362
2023-01-26,1760752
2023-01-27,1762034
2023-01-28,1763606
2023-01-29,1765241
2023-01-30,1766757
2023-01-31,1768214
2023-02-01,1769769
2023-02-02,1771208
2023-02-03,1772672
2023-02-04,1774458
2023-02-05,1776223
2023-02-06,1777649
2023-02-07,1779114
2023-02-08,1780690
2023-02-09,1782002
2023-02-10,1783581
2023-02-11,1785063
2023-02-12,1786795
2023-02-13,1788302
2023-02-14,1789720
2023-02-15,1791146
2023-02-16,1792377
2023-02-17,1793644
2023-02-18,1795390
2023-02-19,1797182
2023-02-20,1798622
2023-02-21,1799969
2023-02-22,1801308
