date,count
2023-01-12,392967
2023-01-13,408545
2023-01-14,426496
2023-01-15,443168
2023-01-16,456853
2023-01-17,470011
2023-01-18,481958
2023-01-19,494019
2023-01-20,509749
2023-01-21,524813
2023-01-22,538851
2023-01-23,550751
2023-01-24,562935
2023-01-25,574912
2023-01-26,586505
2023-01-27,597557
2023-01-28,610008
2023-01-29,621918
2023-01-30,632639
2023-01-31,643376
2023-02-01,654022
2023-02-02,664618
2023-02-03,675256
2023-02-04,687179
2023-02-05,698298
2023-02-06,708099
2023-02-07,717793
2023-02-08,727468
2023-02-09,736724
2023-02-10,747174
2023-02-11,757253
2023-02-12,768603
2023-02-13,777697
2023-02-14,787143
2023-02-15,796467
2023-02-16,804695
2023-02-17,813281
2023-02-18,824110
2023-02-19,834037
2023-02-20,842968
2023-02-21,851202
2023-02-22,859131
2023-02-23,867793
2023-02-24,875766
2023-02-25,884318
2023-02-26,892793
2023-02-27,899927
2023-02-28,906987
2023-03-01,914253
2023-03-02,921493
2023-03-03,928709
2023-03-04,936474
2023-03-05,943731
2023-03-06,950253
2023-03-07,956644
2023-03-08,963331
2023-03-09,969725
2023-03-10,976199
2023-03-11,982846
2023-03-12,989291
