date,count
2022-08-24,8275707
2022-08-25,8285163
2022-08-26,8294965
2022-08-27,8305890
2022-08-28,8316101
2022-08-29,8325698
2022-08-30,8334717
2022-08-31,8343786
2022-09-01,8352292
2022-09-02,8360074
2022-09-03,8369802
2022-09-04,8379948
2022-09-05,8388734
2022-09-06,8397610
2022-09-07,8406085
2022-09-08,8414720
2022-09-09,8422619
2022-09-10,8431926
2022-09-11,8441803
2022-09-12,8450573
2022-09-13,8458281
2022-09-14,8465311
2022-09-15,8472354
2022-09-16,8479922
2022-09-17,8488769
2022-09-18,8498685
2022-09-19,8508620
2022-09-20,8517546
2022-09-21,8526571
2022-09-22,8536078
2022-09-23,8546836
2022-09-24,8557554
2022-09-25,8568262
2022-09-26,8578252
2022-09-27,8588174
2022-09-28,8598244
2022-09-29,8609943
2022-09-30,8619598
2022-10-01,8630820
2022-10-02,8643718
2022-10-03,8654621
2022-10-04,8665376
2022-10-05,8676666
2022-10-06,8687920
2022-10-07,8698774
2022-10-08,8710652
2022-10-09,8722395
2022-10-10,8734311
2022-10-11,8744139
2022-10-12,8753686
2022-10-13,8763752
2022-10-14,8773217
2022-10-15,8783834
2022-10-16,8794917
2022-10-17,8805023
2022-10-18,8814594
2022-10-19,8823689
2022-10-20,8832465
2022-10-21,8840600
2022-10-22,8849575
2022-10-23,8859028
2022-10-24,8867623
2022-10-25,8875177
2022-10-26,8882415
2022-10-27,8889700
2022-10-28,8898131
2022-10-29,8906832
2022-10-30,8915681
2022-10-31,8923593
2022-11-01,8931246
2022-11-02,8939251
2022-11-03,8948451
2022-11-04,8956687
2022-11-05,8965491
2022-11-06,8973431
2022-11-07,8980861
2022-11-08,8986565
2022-11-09,8992427
2022-11-10,8998238
2022-11-11,9004082
2022-11-12,9010493
2022-11-13,9017045
2022-11-14,9022774
2022-11-15,9028984
2022-11-16,9035991
2022-11-17,9041698
2022-11-18,9047964
2022-11-19,9055009
2022-11-20,9062362
2022-11-21,9068497
2022-11-22,9073860
2022-11-23,9079436
2022-11-24,9084578
2022-11-25,9089343
2022-11-26,9094519
2022-11-27,9100277
2022-11-28,9105168
2022-11-29,9109921
2022-11-30,9115448
2022-12-01,9121196
2022-12-02,9127380
2022-12-03,9134513
2022-12-04,9142267
2022-12-05,9148864
2022-12-06,9155308
2022-12-07,9160666
2022-12-08,9165593
2022-12-09,9170635
2022-12-10,9176134
2022-12-11,9181399
2022-12-12,9186488
2022-12-13,9191505
2022-12-14,9196224
2022-12-15,9201268
2022-12-16,9207210
2022-12-17,9213750
2022-12-18,9220391
2022-12-19,9226330
2022-12-20,9232513
2022-12-21,9238923
2022-12-22,9245399
2022-12-23,9252191
2022-12-24,9258960
2022-12-25,9265633
2022-12-26,9272704
2022-12-27,9279645
2022-12-28,9284943
2022-12-29,9291512
2022-12-30,9297658
2022-12-31,9303900
2023-01-01,9309079
2023-01-02,9314935
2023-01-03,9321299
2023-01-04,9327579
2023-01-05,9334147
2023-01-06,9340722
2023-01-07,9347110
2023-01-08,9353331
2023-01-09,9360731
2023-01-10,9365126
2023-01-11,9373301
2023-01-12,9380518
2023-01-13,9387099
2023-01-14,9393959
2023-01-15,9400537
2023-01-16,9406299
2023-01-17,9412066
2023-01-18,9417682
2023-01-19,9423467
2023-01-20,9429198
2023-01-21,9435497
2023-01-22,9442255
2023-01-23,9448725
2023-01-24,9455695
2023-01-25,9462481
2023-01-26,9468845
2023-01-27,9474895
2023-01-28,9481110
2023-01-29,9487508
2023-01-30,9493623
2023-01-31,9499144
2023-02-01,9504855
2023-02-02,9510962
2023-02-03,9516883
2023-02-04,9523024
2023-02-05,9529660
2023-02-06,9535356
2023-02-07,9540679
2023-02-08,9546362
2023-02-09,9551468
2023-02-10,9555820
2023-02-11,9560952
2023-02-12,9567223
2023-02-13,9572819
2023-02-14,9578289
2023-02-15,9584366
2023-02-16,9589674
2023-02-17,9594978
2023-02-18,9601523
2023-02-19,9608877
2023-02-20,9615025
2023-02-21,9620881
2023-02-22,9626396
2023-02-23,9632635
2023-02-24,9638387
2023-02-25,9644128
2023-02-26,9649695
2023-02-27,9655248
2023-02-28,9660569
2023-03-01,9666214
2023-03-02,9671684
2023-03-03,9677562
2023-03-04,9683526
2023-03-05,9689587
2023-03-06,9693844
2023-03-07,9699797
2023-03-08,9705830
2023-03-09,9711268
2023-03-10,9716726
2023-03-11,9722641
2023-03-12,9728287
2023-03-13,9733856
2023-03-14,9738988
2023-03-15,9744388
2023-03-16,9749352
2023-03-17,9754203
2023-03-18,9759243
2023-03-19,9764234
2023-03-20,9769422
2023-03-21,9774561
2023-03-22,9779655
2023-03-23,9785101
2023-03-24,9791014
2023-03-25,9796376
2023-03-26,9801850
2023-03-27,9807326
2023-03-28,9812489
2023-03-29,9817618
2023-03-30,9822635
2023-03-31,9827554
2023-04-01,9832102
2023-04-02,9837383
2023-04-03,9843008
2023-04-04,9848733
2023-04-05,9854312
2023-04-06,9859632
2023-04-07,9864527
2023-04-08,9869616
2023-04-09,9874932
2023-04-10,9879485
2023-04-11,9883815
2023-04-12,9888104
2023-04-13,9892231
2023-04-14,9896206
2023-04-15,9900673
2023-04-16,9905545
2023-04-17,9909610
2023-04-18,9913391
2023-04-19,9917526
2023-04-20,9921652
