date,count
2022-08-24,4828435
2022-08-25,4833515
2022-08-26,4838360
2022-08-27,4843560
2022-08-28,4848683
2022-08-29,4853762
2022-08-30,4858725
2022-08-31,4863878
2022-09-01,4868534
2022-09-02,4872941
2022-09-03,4878528
2022-09-04,4883751
2022-09-05,4888236
2022-09-06,4892850
2022-09-07,4897454
2022-09-08,4902163
2022-09-09,4906381
2022-09-10,4911099
2022-09-11,4916043
2022-09-12,4920396
2022-09-13,4924445
2022-09-14,4928369
2022-09-15,4932746
2022-09-16,4936810
2022-09-17,4941406
2022-09-18,4946684
2022-09-19,4951591
2022-09-20,4955995
2022-09-21,4960386
2022-09-22,4964710
2022-09-23,4969778
2022-09-24,4974516
2022-09-25,4979301
2022-09-26,4984129
2022-09-27,4989014
2022-09-28,4994877
2022-09-29,5000639
2022-09-30,5005132
2022-10-01,5010450
2022-10-02,5016642
2022-10-03,5022141
2022-10-04,5028323
2022-10-05,5034646
2022-10-06,5040333
2022-10-07,5045512
2022-10-08,5051544
2022-10-09,5057157
2022-10-10,5063328
2022-10-11,5068976
2022-10-12,5074283
2022-10-13,5079648
2022-10-14,5084751
2022-10-15,5090136
2022-10-16,5095709
2022-10-17,5101444
2022-10-18,5106831
2022-10-19,5111419
2022-10-20,5116102
2022-10-21,5120505
2022-10-22,5125408
2022-10-23,5130292
2022-10-24,5134776
