date,count
2022-08-24,1358549
2022-08-25,1360562
2022-08-26,1362550
2022-08-27,1364642
2022-08-28,1366561
2022-08-29,1368571
2022-08-30,1370593
2022-08-31,1372573
2022-09-01,1374524
2022-09-02,1376416
2022-09-03,1378795
2022-09-04,1381064
2022-09-05,1383257
2022-09-06,1385604
2022-09-07,1387774
2022-09-08,1390082
2022-09-09,1392233
2022-09-10,1394465
2022-09-11,1396587
2022-09-12,1398523
2022-09-13,1400350
2022-09-14,1402232
2022-09-15,1404164
2022-09-16,1406214
2022-09-17,1408354
2022-09-18,1410416
2022-09-19,1412474
2022-09-20,1414265
2022-09-21,1416062
2022-09-22,1417954
2022-09-23,1420060
2022-09-24,1422160
2022-09-25,1424368
2022-09-26,1426403
2022-09-27,1428391
2022-09-28,1430545
2022-09-29,1432847
2022-09-30,1434740
2022-10-01,1436934
2022-10-02,1440488
2022-10-03,1443368
2022-10-04,1446434
