date,count
2022-08-24,2519281
2022-08-25,2530874
2022-08-26,2542971
2022-08-27,2555994
2022-08-28,2568448
2022-08-29,2580296
2022-08-30,2591401
2022-08-31,2602500
2022-09-01,2612298
2022-09-02,2622165
2022-09-03,2634561
2022-09-04,2646800
2022-09-05,2657682
2022-09-06,2668754
2022-09-07,2679334
2022-09-08,2690410
2022-09-09,2701134
2022-09-10,2713386
2022-09-11,2726034
2022-09-12,2736340
2022-09-13,2745860
2022-09-14,2755803
2022-09-15,2766920
2022-09-16,2778348
2022-09-17,2791485
2022-09-18,2804920
2022-09-19,2816674
2022-09-20,2827339
2022-09-21,2838201
2022-09-22,2849336
2022-09-23,2861609
2022-09-24,2873954
2022-09-25,2886185
2022-09-26,2896546
2022-09-27,2905968
2022-09-28,2915537
2022-09-29,2926198
2022-09-30,2936431
2022-10-01,2947896
2022-10-02,2960318
2022-10-03,2970707
2022-10-04,2981563
2022-10-05,2992184
2022-10-06,3003728
2022-10-07,3014500
2022-10-08,3026753
2022-10-09,3038989
2022-10-10,3050897
2022-10-11,3061624
2022-10-12,3072015
2022-10-13,3082740
2022-10-14,3093409
2022-10-15,3104934
2022-10-16,3116987
2022-10-17,3126896
2022-10-18,3135952
2022-10-19,3145237
2022-10-20,3154642
2022-10-21,3163083
2022-10-22,3172987
2022-10-23,3183387
2022-10-24,3192264
2022-10-25,3200616
2022-10-26,3209206
2022-10-27,3218058
2022-10-28,3227942
2022-10-29,3239141
2022-10-30,3251235
2022-10-31,3262650
2022-11-01,3273050
2022-11-02,3283014
2022-11-03,3294246
2022-11-04,3303710
2022-11-05,3313720
2022-11-06,3323552
2022-11-07,3333380
2022-11-08,3341791
2022-11-09,3350213
2022-11-10,3358244
2022-11-11,3366513
2022-11-12,3376764
2022-11-13,3387126
2022-11-14,3395766
2022-11-15,3403975
2022-11-16,3412098
2022-11-17,3420639
2022-11-18,3428751
2022-11-19,3437914
2022-11-20,3447073
2022-11-21,3454424
2022-11-22,3461362
2022-11-23,3469045
2022-11-24,3476177
2022-11-25,3483336
2022-11-26,3491344
2022-11-27,3499861
2022-11-28,3507049
2022-11-29,3514030
2022-11-30,3520776
2022-12-01,3527436
2022-12-02,3534201
2022-12-03,3542512
2022-12-04,3550744
2022-12-05,3557111
2022-12-06,3564056
2022-12-07,3570932
2022-12-08,3577969
2022-12-09,3584908
2022-12-10,3593554
2022-12-11,3601556
2022-12-12,3608618
2022-12-13,3615405
2022-12-14,3621917
2022-12-15,3628439
2022-12-16,3634832
2022-12-17,3641947
2022-12-18,3649045
2022-12-19,3655175
2022-12-20,3661394
2022-12-21,3667706
2022-12-22,3673974
2022-12-23,3680536
2022-12-24,3686852
2022-12-25,3693101
2022-12-26,3699898
2022-12-27,3706576
2022-12-28,3712900
2022-12-29,3719267
2022-12-30,3725488
2022-12-31,3731984
2023-01-01,3738066
2023-01-02,3743670
2023-01-03,3749675
2023-01-04,3756312
2023-01-05,3763209
2023-01-06,3770004
2023-01-07,3777069
