date,count
2022-08-24,2837799
2022-08-25,2851995
2022-08-26,2866204
2022-08-27,2881285
2022-08-28,2895864
2022-08-29,2910187
2022-08-30,2924251
2022-08-31,2937872
2022-09-01,2950702
2022-09-02,2962647
2022-09-03,2977915
2022-09-04,2992913
2022-09-05,3006321
2022-09-06,3020504
2022-09-07,3034123
2022-09-08,3047447
2022-09-09,3060258
2022-09-10,3073751
2022-09-11,3087679
2022-09-12,3100403
2022-09-13,3112082
2022-09-14,3123751
2022-09-15,3136403
2022-09-16,3148830
2022-09-17,3162165
2022-09-18,3175540
2022-09-19,3189006
2022-09-20,3201636
2022-09-21,3214200
2022-09-22,3227025
2022-09-23,3241944
2022-09-24,3256168
2022-09-25,3270589
2022-09-26,3283604
2022-09-27,3296345
2022-09-28,3309239
2022-09-29,3325590
2022-09-30,3338694
2022-10-01,3353247
2022-10-02,3369570
2022-10-03,3383859
2022-10-04,3398225
2022-10-05,3412124
2022-10-06,3426636
2022-10-07,3441123
2022-10-08,3456563
2022-10-09,3471381
2022-10-10,3488254
2022-10-11,3502520
2022-10-12,3516356
2022-10-13,3530533
2022-10-14,3544425
2022-10-15,3559526
2022-10-16,3574141
2022-10-17,3587446
2022-10-18,3599917
2022-10-19,3612035
2022-10-20,3623997
2022-10-21,3635222
2022-10-22,3647487
2022-10-23,3659947
2022-10-24,3671295
2022-10-25,3682001
2022-10-26,3692700
