date,count
2022-08-24,2232483
2022-08-25,2235694
2022-08-26,2239311
2022-08-27,2242934
2022-08-28,2246541
2022-08-29,2249718
2022-08-30,2252866
2022-08-31,2256012
2022-09-01,2259001
2022-09-02,2261699
2022-09-03,2265325
2022-09-04,2268966
2022-09-05,2271889
2022-09-06,2274939
2022-09-07,2277992
2022-09-08,2281091
2022-09-09,2284200
2022-09-10,2287774
2022-09-11,2291390
2022-09-12,2294445
2022-09-13,2297080
2022-09-14,2299741
2022-09-15,2302681
2022-09-16,2305531
2022-09-17,2308746
2022-09-18,2312120
2022-09-19,2315449
2022-09-20,2318265
2022-09-21,2321018
2022-09-22,2323910
2022-09-23,2327325
2022-09-24,2330452
2022-09-25,2333832
2022-09-26,2336614
2022-09-27,2339393
2022-09-28,2342263
2022-09-29,2345228
2022-09-30,2347640
2022-10-01,2350290
2022-10-02,2353592
2022-10-03,2356351
2022-10-04,2359316
2022-10-05,2362142
2022-10-06,2365090
2022-10-07,2367788
2022-10-08,2370961
2022-10-09,2373997
2022-10-10,2377270
2022-10-11,2380042
2022-10-12,2382728
2022-10-13,2385467
2022-10-14,2388251
2022-10-15,2391235
2022-10-16,2394395
2022-10-17,2396954
2022-10-18,2399560
2022-10-19,2401975
2022-10-20,2404421
2022-10-21,2406756
2022-10-22,2409309
2022-10-23,2411998
2022-10-24,2414612
2022-10-25,2417177
2022-10-26,2419654
2022-10-27,2422361
2022-10-28,2425179
2022-10-29,2428351
2022-10-30,2431913
2022-10-31,2434972
2022-11-01,2437871
2022-11-02,2440802
2022-11-03,2444587
2022-11-04,2447800
2022-11-05,2451030
2022-11-06,2454251
2022-11-07,2457466
2022-11-08,2460452
2022-11-09,2463377
2022-11-10,2466201
2022-11-11,2468918
2022-11-12,2472300
2022-11-13,2475613
2022-11-14,2478478
2022-11-15,2481263
2022-11-16,2484159
2022-11-17,2486814
2022-11-18,2489514
2022-11-19,2492682
2022-11-20,2495684
2022-11-21,2498336
2022-11-22,2500882
2022-11-23,2503782
2022-11-24,2506369
2022-11-25,2508961
2022-11-26,2511889
2022-11-27,2514852
2022-11-28,2517394
2022-11-29,2520169
2022-11-30,2522851
2022-12-01,2525447
2022-12-02,2527901
2022-12-03,2530790
2022-12-04,2533780
2022-12-05,2536232
2022-12-06,2538720
2022-12-07,2541167
2022-12-08,2543690
2022-12-09,2546115
2022-12-10,2548997
2022-12-11,2551718
2022-12-12,2554204
2022-12-13,2556539
2022-12-14,2558959
2022-12-15,2561370
2022-12-16,2563795
2022-12-17,2566410
2022-12-18,2568869
2022-12-19,2571114
2022-12-20,2573446
2022-12-21,2575635
2022-12-22,2577796
2022-12-23,2580086
2022-12-24,2582202
2022-12-25,2584309
2022-12-26,2586694
2022-12-27,2589467
2022-12-28,2592025
2022-12-29,2594363
2022-12-30,2596715
2022-12-31,2598960
2023-01-01,2600692
2023-01-02,2602661
2023-01-03,2604835
2023-01-04,2607005
2023-01-05,2609450
2023-01-06,2611806
2023-01-07,2614330
2023-01-08,2616614
2023-01-09,2619362
2023-01-10,2621473
2023-01-11,2623867
2023-01-12,2626305
2023-01-13,2628731
2023-01-14,2631550
2023-01-15,2634273
2023-01-16,2636589
2023-01-17,2638942
2023-01-18,2641192
2023-01-19,2643565
2023-01-20,2645769
2023-01-21,2648555
2023-01-22,2651398
2023-01-23,2653905
2023-01-24,2656593
2023-01-25,2659399
2023-01-26,2661987
2023-01-27,2664686
2023-01-28,2667676
2023-01-29,2670721
2023-01-30,2673651
2023-01-31,2676457
2023-02-01,2679058
2023-02-02,2681641
2023-02-03,2684218
2023-02-04,2687105
2023-02-05,2689830
2023-02-06,2692094
2023-02-07,2694441
