date,count
2022-08-24,2128950
2022-08-25,2132770
2022-08-26,2136469
2022-08-27,2140169
2022-08-28,2143745
2022-08-29,2147065
2022-08-30,2150419
2022-08-31,2153957
2022-09-01,2157197
2022-09-02,2160067
2022-09-03,2164038
2022-09-04,2168157
2022-09-05,2171369
2022-09-06,2174627
2022-09-07,2177677
2022-09-08,2180750
2022-09-09,2183547
2022-09-10,2187156
2022-09-11,2190928
2022-09-12,2194061
2022-09-13,2196858
2022-09-14,2199759
2022-09-15,2202789
2022-09-16,2205687
2022-09-17,2209178
2022-09-18,2212708
2022-09-19,2215914
2022-09-20,2218648
2022-09-21,2221473
2022-09-22,2224568
2022-09-23,2228271
2022-09-24,2232026
2022-09-25,2235802
2022-09-26,2238770
2022-09-27,2241707
2022-09-28,2244828
2022-09-29,2248113
2022-09-30,2250849
2022-10-01,2254397
2022-10-02,2258261
2022-10-03,2261380
2022-10-04,2264624
2022-10-05,2267894
2022-10-06,2271361
2022-10-07,2274778
2022-10-08,2278822
2022-10-09,2282660
2022-10-10,2286456
2022-10-11,2289582
2022-10-12,2292756
2022-10-13,2295866
2022-10-14,2299033
2022-10-15,2302648
2022-10-16,2306225
2022-10-17,2309149
2022-10-18,2312018
2022-10-19,2314782
2022-10-20,2317664
2022-10-21,2320435
2022-10-22,2323745
2022-10-23,2327029
2022-10-24,2329647
2022-10-25,2332020
2022-10-26,2334270
2022-10-27,2336533
2022-10-28,2339090
2022-10-29,2342052
2022-10-30,2345243
