date,count
2022-08-24,3797837
2022-08-25,3819338
2022-08-26,3840378
2022-08-27,3862875
2022-08-28,3886277
2022-08-29,3908398
2022-08-30,3929188
2022-08-31,3950023
2022-09-01,3969013
2022-09-03,3986165
2022-09-04,4011078
2022-09-05,4031523
2022-09-06,4051545
2022-09-07,4070430
2022-09-08,4088724
2022-09-09,4105893
2022-09-10,4125054
2022-09-11,4145301
2022-09-12,4163272
2022-09-13,4179553
2022-09-14,4196034
2022-09-15,4214404
2022-09-16,4232604
2022-09-17,4252537
2022-09-18,4272985
2022-09-19,4292842
2022-09-20,4311860
2022-09-21,4332071
2022-09-22,4352650
2022-09-23,4376571
2022-09-24,4398208
2022-09-25,4421514
2022-09-26,4442314
2022-09-27,4463147
2022-09-28,4483647
2022-09-29,4509649
2022-09-30,4529611
2022-10-01,4554074
2022-10-02,4580171
2022-10-03,4602346
2022-10-04,4625828
2022-10-05,4648689
2022-10-06,4671307
2022-10-07,4693612
2022-10-08,4719000
2022-10-09,4743551
2022-10-10,4770402
2022-10-11,4793055
2022-10-12,4815210
2022-10-13,4837163
2022-10-14,4858278
2022-10-15,4881088
2022-10-16,4904163
2022-10-17,4925248
2022-10-18,4946751
2022-10-19,4966874
2022-10-20,4987667
2022-10-21,5007526
2022-10-22,5028673
2022-10-23,5049868
2022-10-24,5069577
2022-10-25,5087635
2022-10-26,5104987
2022-10-27,5121442
2022-10-28,5138771
2022-10-29,5157411
2022-10-30,5177629
2022-10-31,5195595
2022-11-01,5212637
2022-11-02,5230035
2022-11-03,5250750
2022-11-04,5268667
2022-11-05,5286675
2022-11-06,5303497
2022-11-07,5321287
2022-11-08,5337933
2022-11-09,5354419
2022-11-10,5370366
2022-11-11,5387692
2022-11-12,5409337
2022-11-13,5429735
2022-11-14,5447715
2022-11-15,5464627
2022-11-16,5481488
2022-11-17,5497485
2022-11-18,5513088
2022-11-19,5529485
2022-11-20,5545474
2022-11-21,5560639
2022-11-22,5575506
2022-11-23,5591801
2022-11-24,5607088
2022-11-25,5621540
2022-11-26,5637073
2022-11-27,5653349
2022-11-28,5667733
2022-11-29,5682781
2022-11-30,5697260
2022-12-01,5711052
2022-12-02,5724630
2022-12-03,5738938
2022-12-04,5753412
2022-12-05,5766575
2022-12-06,5779838
2022-12-07,5793245
2022-12-08,5806415
2022-12-09,5819788
2022-12-10,5834186
2022-12-11,5847586
2022-12-12,5861025
2022-12-13,5874160
2022-12-14,5887267
2022-12-15,5900774
2022-12-16,5913534
2022-12-17,5927596
2022-12-18,5941496
2022-12-19,5953590
2022-12-20,5966996
2022-12-21,5981164
2022-12-22,5996372
2022-12-23,6014808
2022-12-24,6030719
2022-12-25,6045079
2022-12-26,6061037
2022-12-27,6078580
