date,count
2022-12-20,246550
2022-12-21,327068
2022-12-22,388112
2022-12-23,442680
2022-12-24,484801
2022-12-25,517469
2022-12-26,553407
2022-12-27,583087
2022-12-28,608358
2022-12-29,633487
2022-12-30,656418
2022-12-31,678907
2023-01-01,696371
2023-01-02,715259
2023-01-03,734964
2023-01-04,755836
2023-01-05,776121
2023-01-06,796547
2023-01-07,814616
2023-01-08,830982
2023-01-09,851053
2023-01-10,862765
2023-01-11,884863
2023-01-12,902562
2023-01-13,918644
2023-01-14,936245
2023-01-15,953799
2023-01-16,969162
2023-01-17,984230
2023-01-18,998335
2023-01-19,1012724
2023-01-20,1028362
2023-01-21,1043700
2023-01-22,1058523
2023-01-23,1071887
2023-01-24,1085772
2023-01-25,1099560
2023-01-26,1112700
2023-01-27,1125546
2023-01-28,1139581
2023-01-29,1153255
2023-01-30,1166538
2023-01-31,1178675
2023-02-01,1190960
2023-02-02,1203730
2023-02-03,1216551
2023-02-04,1230254
2023-02-05,1243841
2023-02-06,1255511
2023-02-07,1267626
2023-02-08,1279665
2023-02-09,1291535
2023-02-10,1304488
2023-02-11,1316571
2023-02-12,1329468
2023-02-13,1340802
2023-02-14,1352197
2023-02-15,1365291
2023-02-16,1376763
2023-02-17,1388126
2023-02-18,1402746
2023-02-19,1416713
2023-02-20,1429750
2023-02-21,1442578
2023-02-22,1455181
2023-02-23,1468652
2023-02-24,1480999
2023-02-25,1493965
2023-02-26,1506427
2023-02-27,1517899
2023-02-28,1529192
2023-03-01,1540384
2023-03-02,1550325
2023-03-03,1561332
2023-03-04,1572521
2023-03-05,1583441
2023-03-06,1593580
2023-03-07,1603562
2023-03-08,1613214
2023-03-09,1622322
2023-03-10,1631762
2023-03-11,1641355
2023-03-12,1650853
2023-03-13,1660816
2023-03-14,1670555
2023-03-15,1680543
2023-03-16,1690037
2023-03-17,1698915
2023-03-18,1707469
2023-03-19,1715547
2023-03-20,1723489
2023-03-21,1731062
2023-03-22,1738502
2023-03-23,1746508
2023-03-24,1756093
2023-03-25,1764881
2023-03-26,1773317
2023-03-27,1782032
2023-03-28,1789594
2023-03-29,1799180
2023-03-30,1807862
2023-03-31,1817124
2023-04-01,1825205
2023-04-02,1833800
2023-04-03,1843363
2023-04-04,1852831
2023-04-05,1862298
2023-04-06,1871548
2023-04-07,1880968
2023-04-08,1890416
2023-04-09,1899616
2023-04-10,1907854
2023-04-11,1915678
2023-04-12,1923358
2023-04-13,1930494
2023-04-14,1938026
2023-04-15,1945939
2023-04-16,1953994
2023-04-17,1961287
2023-04-18,1968481
2023-04-19,1976200
2023-04-20,1983419
2023-04-21,1990857
2023-04-22,1999963
2023-04-23,2009957
2023-04-24,2017769
2023-04-25,2025737
2023-04-26,2033609
2023-04-27,2040445
2023-04-28,2047863
2023-04-29,2056485
2023-04-30,2064221
2023-05-01,2070844
2023-05-02,2077812
2023-05-03,2085427
2023-05-04,2092948
2023-05-05,2101211
2023-05-06,2109452
2023-05-07,2118174
2023-05-08,2125828
