date,count
2022-08-24,3724671
2022-08-25,3727035
2022-08-26,3729383
2022-08-27,3732035
2022-08-28,3734584
2022-08-29,3737090
2022-08-30,3739343
2022-08-31,3741575
2022-09-01,3743556
2022-09-02,3745351
2022-09-03,3747780
2022-09-04,3750192
2022-09-05,3752088
2022-09-06,3754179
2022-09-07,3756186
2022-09-08,3758221
2022-09-09,3760246
2022-09-10,3762429
2022-09-11,3764790
2022-09-12,3766776
2022-09-13,3768636
2022-09-14,3770468
2022-09-15,3772646
2022-09-16,3774590
2022-09-17,3776952
2022-09-18,3779260
2022-09-19,3781452
2022-09-20,3783479
2022-09-21,3785295
2022-09-22,3787230
2022-09-23,3789590
2022-09-24,3791948
2022-09-25,3794306
2022-09-26,3796472
2022-09-27,3798558
2022-09-28,3800551
2022-09-29,3802765
2022-09-30,3804419
2022-10-01,3806704
2022-10-02,3809075
2022-10-03,3811137
2022-10-04,3813286
2022-10-05,3815563
2022-10-06,3817726
2022-10-07,3819761
2022-10-08,3822304
2022-10-09,3824763
2022-10-10,3827185
2022-10-11,3829306
2022-10-12,3831399
2022-10-13,3833612
2022-10-14,3835722
2022-10-15,3838028
2022-10-16,3840449
2022-10-17,3842489
2022-10-18,3844358
2022-10-19,3846310
2022-10-20,3848285
2022-10-21,3850063
2022-10-22,3852075
2022-10-23,3854388
2022-10-24,3856316
2022-10-25,3858140
2022-10-26,3859867
2022-10-27,3861742
2022-10-28,3863780
2022-10-29,3866133
2022-10-30,3868500
2022-10-31,3870443
2022-11-01,3872295
2022-11-02,3874229
2022-11-03,3876519
2022-11-04,3878338
2022-11-05,3880356
2022-11-06,3882284
2022-11-07,3884218
2022-11-08,3886019
2022-11-09,3887762
2022-11-10,3889483
2022-11-11,3891141
2022-11-12,3893359
2022-11-13,3895604
2022-11-14,3897472
2022-11-15,3899314
2022-11-16,3901185
2022-11-17,3902928
2022-11-18,3904741
2022-11-19,3906750
2022-11-20,3908913
2022-11-21,3910784
2022-11-22,3912615
2022-11-23,3914804
2022-11-24,3916811
2022-11-25,3918731
2022-11-26,3920771
2022-11-27,3923003
2022-11-28,3924837
2022-11-29,3926586
2022-11-30,3928273
2022-12-01,3929987
2022-12-02,3931730
2022-12-03,3933796
2022-12-04,3936024
2022-12-05,3937843
