date,count
2022-08-24,1694848
2022-08-25,1696288
2022-08-26,1697736
2022-08-27,1699279
2022-08-28,1700685
2022-08-29,1702081
2022-08-30,1703429
2022-08-31,1704945
2022-09-01,1706190
2022-09-02,1707257
2022-09-03,1709234
2022-09-04,1710916
2022-09-05,1712146
2022-09-06,1713374
2022-09-07,1714570
2022-09-08,1715850
2022-09-09,1716983
2022-09-10,1718398
2022-09-11,1719811
2022-09-12,1720906
2022-09-13,1721995
2022-09-14,1723013
2022-09-15,1724080
2022-09-16,1725174
2022-09-17,1726620
2022-09-18,1728167
2022-09-19,1729444
2022-09-20,1730478
2022-09-21,1731518
2022-09-22,1732504
2022-09-23,1733770
2022-09-24,1735170
2022-09-25,1736567
2022-09-26,1737602
2022-09-27,1738715
2022-09-28,1739871
2022-09-29,1741037
2022-09-30,1742035
2022-10-01,1743243
2022-10-02,1744752
2022-10-03,1745959
2022-10-04,1747253
2022-10-05,1748401
2022-10-06,1749638
2022-10-07,1750847
2022-10-08,1752232
2022-10-09,1753682
2022-10-10,1755250
2022-10-11,1756418
2022-10-12,1757597
2022-10-13,1758693
2022-10-14,1759814
2022-10-15,1761118
2022-10-16,1762448
2022-10-17,1763560
2022-10-18,1764576
2022-10-19,1765606
2022-10-20,1766716
2022-10-21,1767661
2022-10-22,1768832
2022-10-23,1770059
2022-10-24,1771073
2022-10-25,1772030
2022-10-26,1772966
2022-10-27,1773838
2022-10-28,1774781
2022-10-29,1775802
2022-10-30,1776864
2022-10-31,1777757
2022-11-01,1778618
2022-11-02,1779599
2022-11-03,1780766
2022-11-04,1781613
2022-11-05,1782640
2022-11-06,1783506
2022-11-07,1784382
2022-11-08,1785217
2022-11-09,1786085
2022-11-10,1786942
2022-11-11,1787809
2022-11-12,1788904
2022-11-13,1790025
2022-11-14,1791006
2022-11-15,1791887
2022-11-16,1792801
2022-11-17,1793706
2022-11-18,1794611
2022-11-19,1795575
2022-11-20,1796553
2022-11-21,1797334
2022-11-22,1798206
2022-11-23,1799246
2022-11-24,1800083
2022-11-25,1800936
2022-11-26,1801912
2022-11-27,1802986
2022-11-28,1803770
2022-11-29,1804550
2022-11-30,1805334
2022-12-01,1806113
2022-12-02,1806865
2022-12-03,1807800
2022-12-04,1808751
2022-12-05,1809452
2022-12-06,1810242
2022-12-07,1811008
2022-12-08,1811775
2022-12-09,1812574
2022-12-10,1813535
2022-12-11,1814407
2022-12-12,1815205
2022-12-13,1816009
2022-12-14,1816816
2022-12-15,1817631
2022-12-16,1818410
2022-12-17,1819365
2022-12-18,1820286
2022-12-19,1821096
2022-12-20,1821834
2022-12-21,1822646
2022-12-22,1823440
2022-12-23,1824407
2022-12-24,1825174
2022-12-25,1825813
2022-12-26,1826734
2022-12-27,1827539
2022-12-28,1828331
2022-12-29,1829180
2022-12-30,1830018
2022-12-31,1830806
2023-01-01,1831509
2023-01-02,1832195
2023-01-03,1832939
2023-01-04,1833648
2023-01-05,1834435
2023-01-06,1835213
2023-01-07,1835999
2023-01-08,1836812
2023-01-09,1837805
2023-01-10,1838522
2023-01-11,1839257
2023-01-12,1840041
2023-01-13,1840763
2023-01-14,1841691
2023-01-15,1842641
2023-01-16,1843315
2023-01-17,1844021
2023-01-18,1844747
2023-01-19,1845377
2023-01-20,1846129
2023-01-21,1847047
2023-01-22,1847923
2023-01-23,1848618
2023-01-24,1849325
2023-01-25,1850108
2023-01-26,1850888
2023-01-27,1851607
2023-01-28,1852524
2023-01-29,1853470
2023-01-30,1854187
2023-01-31,1854933
2023-02-01,1855661
2023-02-02,1856316
2023-02-03,1857075
2023-02-04,1857854
2023-02-05,1858737
2023-02-06,1859521
2023-02-07,1860269
2023-02-08,1861002
2023-02-09,1861720
2023-02-10,1862468
2023-02-11,1863277
2023-02-12,1864181
2023-02-13,1864923
2023-02-14,1865706
2023-02-15,1866530
2023-02-16,1867179
2023-02-17,1867888
2023-02-18,1868796
2023-02-19,1869694
2023-02-20,1870400
2023-02-21,1871066
2023-02-22,1871761
2023-02-23,1872601
2023-02-24,1873346
2023-02-25,1874144
2023-02-26,1874906
2023-02-27,1875598
2023-02-28,1876256
