date,count
2022-08-24,5423321
2022-08-25,5431661
2022-08-26,5440060
2022-08-27,5448328
2022-08-28,5456554
2022-08-29,5464928
2022-08-30,5473233
2022-08-31,5481477
2022-09-01,5489484
2022-09-02,5496607
2022-09-03,5505853
2022-09-04,5514403
2022-09-05,5522365
2022-09-06,5530167
2022-09-07,5537542
2022-09-08,5544954
2022-09-09,5551984
2022-09-10,5560060
2022-09-11,5568173
2022-09-12,5575885
2022-09-13,5582840
2022-09-14,5589996
2022-09-15,5598241
2022-09-16,5605814
2022-09-17,5614735
2022-09-18,5624029
2022-09-19,5633493
2022-09-20,5642078
2022-09-21,5649758
2022-09-22,5657572
2022-09-23,5666438
2022-09-24,5675219
2022-09-25,5684565
2022-09-26,5695752
2022-09-27,5705647
2022-09-28,5715214
2022-09-29,5725318
2022-09-30,5733236
2022-10-01,5742794
2022-10-02,5753465
2022-10-03,5763053
2022-10-04,5774108
2022-10-05,5785498
2022-10-06,5796428
2022-10-07,5806595
2022-10-08,5818127
2022-10-09,5828493
2022-10-10,5839376
2022-10-11,5848943
2022-10-12,5857472
2022-10-13,5865963
2022-10-14,5874501
2022-10-15,5884230
2022-10-16,5894750
2022-10-17,5904433
2022-10-18,5913563
2022-10-19,5922440
2022-10-20,5930795
2022-10-21,5938958
2022-10-22,5947719
2022-10-23,5956492
2022-10-24,5964178
2022-10-25,5971431
2022-10-26,5978407
2022-10-27,5985244
2022-10-28,5992790
2022-10-29,6001007
2022-10-30,6009503
2022-10-31,6017045
2022-11-01,6024088
2022-11-02,6031173
2022-11-03,6039432
2022-11-04,6046580
2022-11-05,6054071
2022-11-06,6061290
2022-11-07,6068823
2022-11-08,6075176
2022-11-09,6081605
2022-11-10,6087940
2022-11-11,6094404
2022-11-12,6102003
2022-11-13,6110154
2022-11-14,6117555
2022-11-15,6124443
2022-11-16,6131632
2022-11-17,6138468
2022-11-18,6144522
2022-11-19,6151499
2022-11-20,6158803
2022-11-21,6165104
2022-11-22,6171853
2022-11-23,6179389
2022-11-24,6186370
2022-11-25,6192719
2022-11-26,6199720
2022-11-27,6207071
2022-11-28,6213428
2022-11-29,6221131
2022-11-30,6227905
2022-12-01,6234225
2022-12-02,6240361
2022-12-03,6247415
2022-12-04,6254535
2022-12-05,6260698
2022-12-06,6266986
2022-12-07,6272729
2022-12-08,6278509
2022-12-09,6283944
2022-12-10,6290209
2022-12-11,6296075
2022-12-12,6302019
2022-12-13,6307849
2022-12-14,6313215
2022-12-15,6318516
2022-12-16,6323950
2022-12-17,6329848
2022-12-18,6335468
2022-12-19,6340450
2022-12-20,6345431
2022-12-21,6350659
2022-12-22,6355751
2022-12-23,6361058
2022-12-24,6366400
2022-12-25,6371635
2022-12-26,6377350
2022-12-27,6383107
2022-12-28,6388927
2022-12-29,6394445
2022-12-30,6399432
