date,count
2022-12-05,392594
2022-12-06,439742
2022-12-07,477027
2022-12-08,508706
2022-12-09,539189
2022-12-10,568804
2022-12-11,594290
2022-12-12,615910
2022-12-13,635303
2022-12-14,654545
2022-12-15,671547
2022-12-16,686554
2022-12-17,704851
2022-12-18,720648
2022-12-19,734022
2022-12-20,747898
2022-12-21,760422
2022-12-22,775287
2022-12-23,790643
2022-12-24,803938
2022-12-25,817552
2022-12-26,832914
2022-12-27,848708
2022-12-28,864604
2022-12-29,878734
2022-12-30,891858
2022-12-31,903710
2023-01-01,911993
2023-01-02,921627
2023-01-03,932593
2023-01-04,943460
2023-01-05,954218
2023-01-06,965309
2023-01-07,975712
2023-01-08,986244
2023-01-09,998987
2023-01-10,1006455
2023-01-11,1020619
2023-01-12,1032161
2023-01-13,1042619
2023-01-14,1055226
2023-01-15,1068033
2023-01-16,1078349
2023-01-17,1088416
2023-01-18,1097968
2023-01-19,1107310
2023-01-20,1117561
2023-01-21,1128497
2023-01-22,1139731
2023-01-23,1149063
2023-01-24,1159531
2023-01-25,1171001
2023-01-26,1181495
2023-01-27,1191151
2023-01-28,1201297
2023-01-29,1211985
2023-01-30,1221809
2023-01-31,1230147
2023-02-01,1238526
2023-02-02,1248020
2023-02-03,1256730
2023-02-04,1266085
2023-02-05,1275691
2023-02-06,1283817
2023-02-07,1291925
2023-02-08,1300323
2023-02-09,1308181
2023-02-10,1316784
2023-02-11,1325337
2023-02-12,1334916
2023-02-13,1342539
2023-02-14,1349411
2023-02-15,1356321
2023-02-16,1362590
2023-02-17,1368699
2023-02-18,1376297
2023-02-19,1384631
2023-02-20,1391224
2023-02-21,1397350
2023-02-22,1403479
2023-02-23,1410376
2023-02-24,1417329
2023-02-25,1424671
2023-02-26,1430834
2023-02-27,1437423
2023-02-28,1443386
2023-03-01,1449375
2023-03-02,1454781
2023-03-03,1460831
2023-03-04,1467725
