date,count
2022-08-24,1302406
2022-08-25,1305078
2022-08-26,1307765
2022-08-27,1310531
2022-08-28,1313176
2022-08-29,1315607
2022-08-30,1318450
2022-08-31,1320921
2022-09-01,1323213
2022-09-02,1325252
2022-09-03,1328098
2022-09-04,1330760
2022-09-05,1332990
2022-09-06,1335256
2022-09-07,1337323
2022-09-08,1339508
2022-09-09,1341477
2022-09-10,1344097
2022-09-11,1346699
2022-09-12,1348942
2022-09-13,1351054
2022-09-14,1353067
2022-09-15,1355276
2022-09-16,1357263
2022-09-17,1359689
2022-09-18,1362199
2022-09-19,1364855
2022-09-20,1366991
2022-09-21,1369118
2022-09-22,1371216
2022-09-23,1373798
2022-09-24,1376256
2022-09-25,1379066
2022-09-26,1381881
2022-09-27,1384428
2022-09-28,1386830
2022-09-29,1389391
2022-09-30,1391241
2022-10-01,1393889
2022-10-02,1396723
2022-10-03,1399059
2022-10-04,1401516
2022-10-05,1403922
2022-10-06,1406439
2022-10-07,1409019
2022-10-08,1412006
2022-10-09,1414770
2022-10-10,1417694
2022-10-11,1420014
2022-10-12,1422278
2022-10-13,1424481
2022-10-14,1426745
2022-10-15,1429306
2022-10-16,1431879
2022-10-17,1434108
2022-10-18,1436373
2022-10-19,1438305
2022-10-20,1440386
2022-10-21,1442385
2022-10-22,1444543
2022-10-23,1446866
2022-10-24,1448729
2022-10-25,1450553
2022-10-26,1452331
2022-10-27,1454078
2022-10-28,1455980
2022-10-29,1458101
2022-10-30,1460418
2022-10-31,1462139
2022-11-01,1463818
2022-11-02,1465533
2022-11-03,1467609
2022-11-04,1469328
2022-11-05,1471203
2022-11-06,1473206
2022-11-07,1475043
2022-11-08,1476660
