date,count
2022-08-24,2015470
2022-08-25,2021360
2022-08-26,2026941
2022-08-27,2032876
2022-08-28,2038906
2022-08-29,2044591
2022-08-30,2050121
2022-08-31,2055355
2022-09-01,2060262
2022-09-02,2064740
2022-09-03,2070673
2022-09-04,2076327
2022-09-05,2081270
2022-09-06,2086117
2022-09-07,2090874
2022-09-08,2095558
2022-09-09,2100028
2022-09-10,2105101
2022-09-11,2110208
2022-09-12,2114540
2022-09-13,2118495
2022-09-14,2122717
2022-09-15,2127366
2022-09-16,2131773
2022-09-17,2136680
2022-09-18,2141756
2022-09-19,2146652
2022-09-20,2151083
2022-09-21,2155590
2022-09-22,2160421
2022-09-23,2166225
2022-09-24,2171720
2022-09-25,2177319
2022-09-26,2182098
2022-09-27,2187122
2022-09-28,2192584
2022-09-29,2198432
2022-09-30,2203419
2022-10-01,2209654
2022-10-02,2216352
2022-10-03,2221913
2022-10-04,2227977
2022-10-05,2234058
2022-10-06,2240212
2022-10-07,2246280
2022-10-08,2252831
2022-10-09,2258858
2022-10-10,2265693
2022-10-11,2271367
2022-10-12,2276892
2022-10-13,2282464
2022-10-14,2288506
2022-10-15,2295971
2022-10-16,2302984
2022-10-17,2308827
2022-10-18,2314347
2022-10-19,2319559
2022-10-20,2324698
2022-10-21,2329411
2022-10-22,2334613
2022-10-23,2340079
2022-10-24,2344829
2022-10-25,2349381
2022-10-26,2353800
2022-10-27,2358101
2022-10-28,2362711
2022-10-29,2367775
2022-10-30,2373270
2022-10-31,2378084
2022-11-01,2382813
2022-11-02,2387317
2022-11-03,2392401
2022-11-04,2396582
2022-11-05,2401123
2022-11-06,2405864
2022-11-07,2410535
2022-11-08,2414843
2022-11-09,2419164
2022-11-10,2423762
2022-11-11,2428538
2022-11-12,2434329
2022-11-13,2439926
2022-11-14,2444976
2022-11-15,2449614
2022-11-16,2454330
2022-11-17,2458934
2022-11-18,2463592
2022-11-19,2468603
2022-11-20,2473574
2022-11-21,2477685
2022-11-22,2482126
2022-11-23,2486997
2022-11-24,2491414
2022-11-25,2495598
2022-11-26,2500109
2022-11-27,2505034
2022-11-28,2509132
2022-11-29,2513613
2022-11-30,2517850
2022-12-01,2521842
2022-12-02,2525612
2022-12-03,2529922
2022-12-04,2534701
2022-12-05,2538496
2022-12-06,2542464
2022-12-07,2546410
2022-12-08,2550183
2022-12-09,2554048
2022-12-10,2558434
2022-12-11,2562567
2022-12-12,2566390
2022-12-13,2570312
2022-12-14,2574515
2022-12-15,2578326
2022-12-16,2582267
2022-12-17,2586635
2022-12-18,2590875
2022-12-19,2594551
2022-12-20,2598153
2022-12-21,2601848
2022-12-22,2605784
2022-12-23,2609904
2022-12-24,2614039
2022-12-25,2618032
2022-12-26,2622872
2022-12-27,2627626
2022-12-28,2632029
2022-12-29,2636283
2022-12-30,2640281
2022-12-31,2644418
2023-01-01,2647565
2023-01-02,2651003
2023-01-03,2654716
2023-01-04,2658565
2023-01-05,2662684
2023-01-06,2666727
2023-01-07,2670824
2023-01-08,2674800
2023-01-09,2679484
2023-01-10,2682469
2023-01-11,2687681
2023-01-12,2691869
2023-01-13,2695699
2023-01-14,2699992
2023-01-15,2704474
2023-01-16,2708292
2023-01-17,2711909
2023-01-18,2715572
2023-01-19,2719316
2023-01-20,2722818
2023-01-21,2726841
2023-01-22,2730877
2023-01-23,2734424
2023-01-24,2738094
2023-01-25,2741706
2023-01-26,2745347
2023-01-27,2748933
2023-01-28,2752744
2023-01-29,2756770
2023-01-30,2760268
2023-01-31,2764023
2023-02-01,2767821
2023-02-02,2771470
2023-02-03,2775028
2023-02-04,2779043
2023-02-05,2783086
2023-02-06,2786496
2023-02-07,2789961
2023-02-08,2793527
2023-02-09,2796685
2023-02-10,2800197
2023-02-11,2803803
2023-02-12,2807722
2023-02-13,2811019
2023-02-14,2814347
2023-02-15,2818135
2023-02-16,2821303
2023-02-17,2824425
2023-02-18,2828432
2023-02-19,2832463
2023-02-20,2835982
2023-02-21,2839548
2023-02-22,2843008
2023-02-23,2846977
2023-02-24,2850603
2023-02-25,2854342
2023-02-26,2857885
2023-02-27,2861462
2023-02-28,2864775
2023-03-01,2868316
2023-03-02,2871823
2023-03-03,2875346
2023-03-04,2879192
2023-03-05,2883390
2023-03-06,2886998
2023-03-07,2890704
2023-03-08,2894372
2023-03-09,2897941
2023-03-10,2901674
2023-03-11,2905594
2023-03-12,2909554
2023-03-13,2913257
2023-03-14,2917059
2023-03-15,2920757
2023-03-16,2924344
2023-03-17,2928093
2023-03-18,2932033
2023-03-19,2935981
2023-03-20,2939835
2023-03-21,2943587
2023-03-22,2947660
2023-03-23,2951694
2023-03-24,2955917
2023-03-25,2959940
2023-03-26,2963931
2023-03-27,2967801
2023-03-28,2971622
2023-03-29,2975175
2023-03-30,2978777
2023-03-31,2982213
2023-04-01,2985814
2023-04-02,2989332
2023-04-03,2993230
2023-04-04,2996823
2023-04-05,3000347
2023-04-06,3003954
2023-04-07,3007328
2023-04-08,3010823
2023-04-09,3014432
2023-04-10,3017605
2023-04-11,3020477
2023-04-12,3023382
2023-04-13,3026233
2023-04-14,3029106
2023-04-15,3032262
2023-04-16,3035680
2023-04-17,3038487
2023-04-18,3041051
2023-04-19,3043793
2023-04-20,3046550
2023-04-21,3049312
2023-04-22,3052394
2023-04-23,3055751
2023-04-24,3058444
2023-04-25,3061023
2023-04-26,3063320
2023-04-27,3065660
2023-04-28,3068150
2023-04-29,3070908
2023-04-30,3073730
2023-05-01,3076215
