date,count
2022-08-24,1980710
2022-08-25,1986082
2022-08-26,1991399
2022-08-27,1997149
2022-08-28,2002707
2022-08-29,2007763
2022-08-30,2012562
2022-08-31,2017634
2022-09-01,2022800
2022-09-02,2027599
2022-09-03,2033762
2022-09-04,2039513
2022-09-05,2044659
2022-09-06,2049999
2022-09-07,2055038
2022-09-08,2060430
2022-09-09,2065283
2022-09-10,2070696
2022-09-11,2076126
2022-09-12,2081153
2022-09-13,2085835
2022-09-14,2090338
2022-09-15,2095446
2022-09-16,2100333
2022-09-17,2105619
2022-09-18,2110581
2022-09-19,2115434
2022-09-20,2119834
2022-09-21,2124388
2022-09-22,2129263
2022-09-23,2134979
2022-09-24,2140380
2022-09-25,2146202
2022-09-26,2151208
2022-09-27,2156338
2022-09-28,2162122
2022-09-29,2168064
2022-09-30,2172804
2022-10-01,2178434
2022-10-02,2185013
2022-10-03,2190812
2022-10-04,2197047
2022-10-05,2202943
2022-10-06,2208901
2022-10-07,2214744
2022-10-08,2221029
2022-10-09,2226688
2022-10-10,2233051
2022-10-11,2238293
2022-10-12,2243037
2022-10-13,2248202
2022-10-14,2253327
2022-10-15,2258839
2022-10-16,2264847
2022-10-17,2269937
2022-10-18,2274791
2022-10-19,2279601
2022-10-20,2284678
2022-10-21,2289425
2022-10-22,2294607
2022-10-23,2299906
2022-10-24,2304880
2022-10-25,2309357
2022-10-26,2314109
2022-10-27,2318884
2022-10-28,2324071
2022-10-29,2329449
2022-10-30,2334989
2022-10-31,2340147
2022-11-01,2344992
2022-11-02,2349925
2022-11-03,2355560
2022-11-04,2360174
2022-11-05,2365272
2022-11-06,2370568
2022-11-07,2376230
2022-11-08,2381060
2022-11-09,2385525
2022-11-10,2390302
2022-11-11,2395000
2022-11-12,2400270
2022-11-13,2405787
2022-11-14,2410713
2022-11-15,2415568
2022-11-16,2420397
2022-11-17,2425137
2022-11-18,2429395
2022-11-19,2434128
2022-11-20,2439056
2022-11-21,2443282
2022-11-22,2447596
2022-11-23,2452175
2022-11-24,2456431
2022-11-25,2460492
2022-11-26,2464949
2022-11-27,2469479
2022-11-28,2473236
2022-11-29,2477569
2022-11-30,2481472
2022-12-01,2485494
2022-12-02,2489508
2022-12-03,2493866
2022-12-04,2498533
2022-12-05,2502583
2022-12-06,2506538
2022-12-07,2510735
2022-12-08,2514575
2022-12-09,2518259
2022-12-10,2522451
2022-12-11,2526652
2022-12-12,2530633
2022-12-13,2534541
2022-12-14,2538327
2022-12-15,2542055
2022-12-16,2546031
2022-12-17,2549781
2022-12-18,2553525
2022-12-19,2557061
2022-12-20,2560929
2022-12-21,2564892
2022-12-22,2568577
2022-12-23,2572245
2022-12-24,2575833
2022-12-25,2579328
2022-12-26,2583308
2022-12-27,2587134
2022-12-28,2591081
2022-12-29,2594722
2022-12-30,2598205
2022-12-31,2601972
2023-01-01,2605025
2023-01-02,2608276
2023-01-03,2611725
2023-01-04,2615302
2023-01-05,2619028
2023-01-06,2622837
2023-01-07,2626459
2023-01-08,2630082
2023-01-09,2634425
2023-01-10,2637204
2023-01-11,2641425
2023-01-12,2645239
2023-01-13,2648740
2023-01-14,2652567
2023-01-15,2656702
2023-01-16,2660194
2023-01-17,2663497
2023-01-18,2666794
2023-01-19,2670225
2023-01-20,2673518
2023-01-21,2677100
2023-01-22,2681146
2023-01-23,2684721
2023-01-24,2688351
2023-01-25,2692276
2023-01-26,2695891
2023-01-27,2699674
2023-01-28,2703725
2023-01-29,2707973
2023-01-30,2712145
2023-01-31,2716077
2023-02-01,2719887
2023-02-02,2723349
2023-02-03,2727101
2023-02-04,2731031
2023-02-05,2735035
2023-02-06,2738582
2023-02-07,2742222
2023-02-08,2745938
2023-02-09,2749216
2023-02-10,2752808
