date,count
2022-08-24,7510839
2022-08-25,7529348
2022-08-26,7546384
2022-08-27,7564567
2022-08-28,7581417
2022-08-29,7598396
2022-08-30,7614329
2022-08-31,7631490
2022-09-01,7647656
2022-09-02,7662065
2022-09-03,7681715
2022-09-04,7700948
2022-09-05,7716973
2022-09-06,7733413
2022-09-07,7749053
2022-09-08,7763760
2022-09-09,7778180
2022-09-10,7796615
2022-09-11,7815656
2022-09-12,7831745
2022-09-13,7846117
2022-09-14,7859975
2022-09-15,7875722
2022-09-16,7890128
2022-09-17,7907241
2022-09-18,7925346
2022-09-19,7942486
2022-09-20,7956975
2022-09-21,7970613
2022-09-22,7984580
2022-09-23,8001847
2022-09-24,8018688
2022-09-25,8035425
2022-09-26,8050288
2022-09-27,8065011
2022-09-28,8079201
2022-09-29,8095092
2022-09-30,8107767
2022-10-01,8124841
2022-10-02,8143623
2022-10-03,8159837
2022-10-04,8177014
2022-10-05,8193786
2022-10-06,8209979
2022-10-07,8225863
2022-10-08,8245800
2022-10-09,8264428
2022-10-10,8282262
2022-10-11,8297915
2022-10-12,8313049
2022-10-13,8327932
2022-10-14,8341308
2022-10-15,8360340
2022-10-16,8379705
2022-10-17,8396091
2022-10-18,8411732
2022-10-19,8426921
2022-10-20,8442040
2022-10-21,8455919
2022-10-22,8473212
2022-10-23,8490227
2022-10-24,8504193
2022-10-25,8517686
2022-10-26,8532485
2022-10-27,8547061
2022-10-28,8560821
2022-10-29,8576838
2022-10-30,8595343
2022-10-31,8612781
2022-11-01,8629153
2022-11-02,8645084
2022-11-03,8664427
2022-11-04,8679854
2022-11-05,8696464
2022-11-06,8712665
2022-11-07,8729011
2022-11-08,8742742
2022-11-09,8757466
2022-11-10,8771762
2022-11-11,8785505
2022-11-12,8802094
2022-11-13,8820271
2022-11-14,8835974
2022-11-15,8851090
2022-11-16,8865873
2022-11-17,8880292
2022-11-18,8893475
2022-11-19,8907786
2022-11-20,8923125
2022-11-21,8935973
2022-11-22,8949263
2022-11-23,8964715
2022-11-24,8978208
2022-11-25,8990869
2022-11-26,9005781
2022-11-27,9021870
2022-11-28,9035306
2022-11-29,9050437
2022-11-30,9064617
2022-12-01,9077954
2022-12-02,9090992
2022-12-03,9105537
2022-12-04,9119555
2022-12-05,9131103
2022-12-06,9143379
2022-12-07,9156474
2022-12-08,9168979
2022-12-09,9180367
2022-12-10,9196160
2022-12-11,9210815
2022-12-12,9223463
2022-12-13,9236316
2022-12-14,9249028
2022-12-15,9260600
2022-12-16,9273125
2022-12-17,9286464
2022-12-18,9300810
2022-12-19,9313823
2022-12-20,9327427
2022-12-21,9341958
2022-12-22,9355768
2022-12-23,9369618
2022-12-24,9383309
2022-12-25,9396665
2022-12-26,9411481
2022-12-27,9426118
2022-12-28,9440597
2022-12-29,9454910
2022-12-30,9468469
2022-12-31,9481725
2023-01-01,9492252
2023-01-02,9504519
2023-01-03,9517766
2023-01-04,9531355
2023-01-05,9544400
2023-01-06,9557043
2023-01-07,9569586
2023-01-08,9582338
2023-01-09,9597222
2023-01-10,9605447
2023-01-11,9620282
2023-01-12,9632092
2023-01-13,9642840
2023-01-14,9655638
2023-01-15,9668723
2023-01-16,9679908
2023-01-17,9690461
2023-01-18,9700499
2023-01-19,9710769
2023-01-20,9720697
2023-01-21,9732271
2023-01-22,9744171
2023-01-23,9754994
2023-01-24,9766256
2023-01-25,9777178
2023-01-26,9787479
2023-01-27,9798206
2023-01-28,9810397
2023-01-29,9823181
2023-01-30,9834757
2023-01-31,9845632
2023-02-01,9855862
2023-02-02,9866245
2023-02-03,9876462
2023-02-04,9887683
2023-02-05,9899649
2023-02-06,9909551
2023-02-07,9919568
2023-02-08,9929959
2023-02-09,9939924
2023-02-10,9951006
2023-02-11,9962208
2023-02-12,9974720
2023-02-13,9985433
2023-02-14,9995849
2023-02-15,10007485
2023-02-16,10017387
2023-02-17,10027409
2023-02-18,10039123
2023-02-19,10050599
2023-02-20,10060462
2023-02-21,10070210
2023-02-22,10080231
2023-02-23,10091725
2023-02-24,10101948
2023-02-25,10113428
2023-02-26,10125144
2023-02-27,10135769
2023-02-28,10145559
2023-03-01,10155774
2023-03-02,10165374
2023-03-03,10175014
2023-03-04,10185202
2023-03-05,10196806
2023-03-06,10206656
2023-03-07,10215871
2023-03-08,10225313
2023-03-09,10234345
2023-03-10,10243326
2023-03-11,10253253
2023-03-12,10264073
2023-03-13,10274205
2023-03-14,10283337
2023-03-15,10293043
2023-03-16,10302756
2023-03-17,10312594
2023-03-18,10322452
2023-03-19,10332627
2023-03-20,10342925
2023-03-21,10353057
