date,count
2022-08-24,8042141
2022-08-25,8058842
2022-08-26,8074885
2022-08-27,8091542
2022-08-28,8108516
2022-08-29,8125224
2022-08-30,8141473
2022-08-31,8158081
2022-09-01,8173110
2022-09-02,8187005
2022-09-03,8205000
2022-09-04,8223017
2022-09-05,8238347
2022-09-06,8255095
2022-09-07,8270410
2022-09-08,8286121
2022-09-09,8301131
2022-09-10,8318336
2022-09-11,8336738
2022-09-12,8352618
2022-09-13,8367008
2022-09-14,8381621
2022-09-15,8397585
2022-09-16,8412573
2022-09-17,8430058
2022-09-18,8448479
2022-09-19,8466354
2022-09-20,8481561
2022-09-21,8496569
2022-09-22,8512193
2022-09-23,8531086
2022-09-24,8549570
2022-09-25,8568437
2022-09-26,8584660
2022-09-27,8601349
2022-09-28,8618402
2022-09-29,8637414
2022-09-30,8653103
2022-10-01,8672761
2022-10-02,8694546
2022-10-03,8713666
2022-10-04,8732773
2022-10-05,8751715
2022-10-06,8770062
2022-10-07,8787942
2022-10-08,8809394
2022-10-09,8829777
2022-10-10,8850836
2022-10-11,8868358
2022-10-12,8884726
2022-10-13,8900430
2022-10-14,8915690
2022-10-15,8933901
2022-10-16,8952100
2022-10-17,8968130
2022-10-18,8983911
2022-10-19,8998341
2022-10-20,9013345
2022-10-21,9027780
2022-10-22,9045095
2022-10-23,9062623
2022-10-24,9077659
2022-10-25,9092145
2022-10-26,9105761
2022-10-27,9119081
2022-10-28,9134013
2022-10-29,9151660
2022-10-30,9170485
2022-10-31,9186296
2022-11-01,9200692
2022-11-02,9215395
2022-11-03,9232339
2022-11-04,9246507
2022-11-05,9261956
2022-11-06,9276219
2022-11-07,9290501
2022-11-08,9304005
2022-11-09,9317777
2022-11-10,9330985
2022-11-11,9343702
2022-11-12,9359223
2022-11-13,9375445
2022-11-14,9389031
2022-11-15,9402249
2022-11-16,9415983
2022-11-17,9429341
2022-11-18,9442559
2022-11-19,9457076
2022-11-20,9471752
2022-11-21,9484106
2022-11-22,9496548
2022-11-23,9511570
2022-11-24,9524916
2022-11-25,9537705
2022-11-26,9552739
2022-11-27,9568741
2022-11-28,9581934
2022-11-29,9594957
2022-11-30,9607508
2022-12-01,9619498
2022-12-02,9631299
2022-12-03,9645382
2022-12-04,9659909
2022-12-05,9671190
2022-12-06,9682884
2022-12-07,9695551
2022-12-08,9708312
2022-12-09,9721333
2022-12-10,9735891
2022-12-11,9749272
2022-12-12,9761508
2022-12-13,9773322
2022-12-14,9784461
2022-12-15,9796431
2022-12-16,9808091
2022-12-17,9820490
2022-12-18,9832763
2022-12-19,9843535
2022-12-20,9854614
2022-12-21,9865501
2022-12-22,9876367
2022-12-23,9887836
2022-12-24,9898825
2022-12-25,9909700
2022-12-26,9922015
2022-12-27,9935107
2022-12-28,9947620
2022-12-29,9959649
2022-12-30,9971020
2022-12-31,9982837
2023-01-01,9993066
2023-01-02,10004330
2023-01-03,10015610
2023-01-04,10026679
2023-01-05,10037585
2023-01-06,10048425
2023-01-07,10059525
2023-01-08,10069932
2023-01-09,10082112
2023-01-10,10089218
2023-01-11,10103342
2023-01-12,10114611
2023-01-13,10125274
2023-01-14,10137092
2023-01-15,10150085
2023-01-16,10161278
2023-01-17,10171655
2023-01-18,10181613
2023-01-19,10191771
2023-01-20,10201904
2023-01-21,10213307
2023-01-22,10224937
2023-01-23,10235892
2023-01-24,10247425
2023-01-25,10259022
2023-01-26,10269712
2023-01-27,10280957
2023-01-28,10293379
2023-01-29,10305846
2023-01-30,10317663
2023-01-31,10328982
2023-02-01,10339776
2023-02-02,10351129
2023-02-03,10362633
2023-02-04,10374393
2023-02-05,10386552
2023-02-06,10397681
2023-02-07,10407984
2023-02-08,10417979
2023-02-09,10427183
2023-02-10,10436920
2023-02-11,10446826
2023-02-12,10458404
2023-02-13,10468941
2023-02-14,10479385
2023-02-15,10490770
2023-02-16,10500781
