date,count
2022-08-24,557475
2022-08-25,561946
2022-08-26,566452
2022-08-27,570995
2022-08-28,575472
2022-08-29,579686
2022-08-30,584113
2022-08-31,588336
2022-09-01,592188
2022-09-02,595508
2022-09-03,599821
2022-09-04,603984
2022-09-05,607444
2022-09-06,611082
2022-09-07,614523
2022-09-08,618041
2022-09-09,621351
2022-09-10,625212
2022-09-11,629114
2022-09-12,632383
2022-09-13,635362
2022-09-14,638545
2022-09-15,641806
2022-09-16,644807
2022-09-17,648333
2022-09-18,651864
2022-09-19,655478
2022-09-20,658473
2022-09-21,661453
2022-09-22,664580
2022-09-23,668031
2022-09-24,671550
2022-09-25,675119
2022-09-26,678289
2022-09-27,681400
2022-09-28,684177
2022-09-29,687353
2022-09-30,689825
2022-10-01,693151
2022-10-02,696784
2022-10-03,699712
2022-10-04,702777
2022-10-05,705584
2022-10-06,708860
2022-10-07,712043
2022-10-08,715627
2022-10-09,718903
2022-10-10,722360
2022-10-11,725330
2022-10-12,728293
2022-10-13,731286
2022-10-14,734036
2022-10-15,737062
2022-10-16,740015
