date,count
2022-08-24,650454
2022-08-25,693491
2022-08-26,732504
2022-08-27,768988
2022-08-28,800822
2022-08-29,830977
2022-08-30,860785
2022-08-31,888426
2022-09-01,914816
2022-09-02,937899
2022-09-03,965500
2022-09-04,991121
2022-09-05,1014060
2022-09-06,1037686
2022-09-07,1059622
2022-09-08,1081035
2022-09-09,1100497
2022-09-10,1121219
2022-09-11,1141910
2022-09-12,1159277
2022-09-13,1175292
2022-09-14,1191130
2022-09-15,1207553
2022-09-16,1222903
2022-09-17,1240244
2022-09-18,1257317
2022-09-19,1274727
2022-09-20,1290073
2022-09-21,1304428
2022-09-22,1319869
2022-09-23,1337776
2022-09-24,1354753
2022-09-25,1372477
2022-09-26,1387932
2022-09-27,1403562
2022-09-28,1419789
2022-09-29,1437813
2022-09-30,1452323
2022-10-01,1471168
2022-10-02,1490838
2022-10-03,1507475
2022-10-04,1524472
2022-10-05,1541231
2022-10-06,1557758
2022-10-07,1574464
2022-10-08,1592948
2022-10-09,1610672
2022-10-10,1630373
2022-10-11,1647462
2022-10-12,1663714
2022-10-13,1679817
2022-10-14,1694898
2022-10-15,1710666
2022-10-16,1727142
2022-10-17,1742104
2022-10-18,1756352
2022-10-19,1769308
2022-10-20,1782993
2022-10-21,1796294
2022-10-22,1811571
2022-10-23,1826595
2022-10-24,1839490
2022-10-25,1851905
2022-10-26,1863795
2022-10-27,1875248
2022-10-28,1887716
2022-10-29,1901852
2022-10-30,1917280
2022-10-31,1930606
2022-11-01,1943126
2022-11-02,1955558
2022-11-03,1970555
2022-11-04,1982738
2022-11-05,1994808
2022-11-06,2007190
2022-11-07,2019550
2022-11-08,2030240
2022-11-09,2041175
2022-11-10,2052720
2022-11-11,2063942
2022-11-12,2078489
2022-11-13,2091768
2022-11-14,2103305
2022-11-15,2114505
2022-11-16,2125607
2022-11-17,2136593
2022-11-18,2147076
2022-11-19,2158692
2022-11-20,2169832
2022-11-21,2179639
2022-11-22,2189281
2022-11-23,2200162
2022-11-24,2210354
2022-11-25,2219842
2022-11-26,2230116
2022-11-27,2241059
2022-11-28,2250581
2022-11-29,2261134
2022-11-30,2271236
2022-12-01,2280671
2022-12-02,2289899
2022-12-03,2300022
2022-12-04,2310385
2022-12-05,2318930
2022-12-06,2327645
2022-12-07,2336746
2022-12-08,2345704
2022-12-09,2354649
2022-12-10,2365639
2022-12-11,2375754
2022-12-12,2384845
2022-12-13,2393913
2022-12-14,2403057
2022-12-15,2412165
2022-12-16,2420777
2022-12-17,2429925
2022-12-18,2438994
2022-12-19,2447091
2022-12-20,2455272
2022-12-21,2463448
2022-12-22,2471386
2022-12-23,2479680
2022-12-24,2487344
2022-12-25,2495145
2022-12-26,2504246
2022-12-27,2513028
2022-12-28,2521443
2022-12-29,2529354
2022-12-30,2536426
2022-12-31,2543458
2023-01-01,2548986
2023-01-02,2555136
2023-01-03,2561837
2023-01-04,2568839
2023-01-05,2575831
2023-01-06,2582817
2023-01-07,2589696
2023-01-08,2596101
2023-01-09,2604144
2023-01-10,2608750
2023-01-11,2617296
2023-01-12,2624606
2023-01-13,2631502
2023-01-14,2639146
2023-01-15,2646828
2023-01-16,2653031
2023-01-17,2659103
2023-01-18,2665156
2023-01-19,2671146
2023-01-20,2677201
2023-01-21,2683651
2023-01-22,2690090
2023-01-23,2695886
2023-01-24,2701932
2023-01-25,2708090
2023-01-26,2713703
2023-01-27,2719438
2023-01-28,2725341
2023-01-29,2731523
2023-01-30,2737562
2023-01-31,2743465
2023-02-01,2749414
2023-02-02,2755414
2023-02-03,2761264
2023-02-04,2767500
2023-02-05,2774019
2023-02-06,2779653
2023-02-07,2785070
2023-02-08,2790907
2023-02-09,2796163
2023-02-10,2802124
2023-02-11,2808285
2023-02-12,2814875
2023-02-13,2820212
2023-02-14,2825945
2023-02-15,2832224
2023-02-16,2837237
2023-02-17,2842380
2023-02-18,2848425
2023-02-19,2854730
2023-02-20,2860213
2023-02-21,2865638
2023-02-22,2870998
2023-02-23,2876984
2023-02-24,2882433
2023-02-25,2888057
2023-02-26,2893233
2023-02-27,2898379
2023-02-28,2903222
2023-03-01,2908005
2023-03-02,2912769
2023-03-03,2917801
2023-03-04,2923154
2023-03-05,2928301
2023-03-06,2933279
2023-03-07,2938312
2023-03-08,2943459
2023-03-09,2947983
2023-03-10,2952502
2023-03-11,2957418
2023-03-12,2962302
2023-03-13,2967045
2023-03-14,2971533
2023-03-15,2976059
2023-03-16,2980719
2023-03-17,2985112
2023-03-18,2989636
2023-03-19,2994361
2023-03-20,2999406
2023-03-21,3004030
2023-03-22,3008609
2023-03-23,3013236
2023-03-24,3018508
2023-03-25,3023479
