date,count
2022-08-24,1701194
2022-08-25,1702800
2022-08-26,1704337
2022-08-27,1705930
2022-08-28,1707433
2022-08-29,1708955
2022-08-30,1710347
2022-08-31,1711744
2022-09-01,1713113
2022-09-02,1714347
2022-09-03,1716084
2022-09-04,1717760
2022-09-05,1719145
2022-09-06,1720578
2022-09-07,1721924
2022-09-08,1723293
2022-09-09,1724613
2022-09-10,1726166
2022-09-11,1727725
2022-09-12,1728974
2022-09-13,1730241
2022-09-14,1731339
2022-09-15,1732572
2022-09-16,1733876
2022-09-17,1735513
2022-09-18,1737045
2022-09-19,1738567
2022-09-20,1739831
2022-09-21,1741139
2022-09-22,1742435
2022-09-23,1744036
2022-09-24,1745632
2022-09-25,1747291
2022-09-26,1748673
2022-09-27,1750127
2022-09-28,1751517
2022-09-29,1752991
2022-09-30,1754100
2022-10-01,1755536
2022-10-02,1757157
2022-10-03,1758462
2022-10-04,1759971
2022-10-05,1761494
2022-10-06,1763076
2022-10-07,1764687
2022-10-08,1766501
2022-10-09,1768048
2022-10-10,1769732
2022-10-11,1771154
2022-10-12,1772522
2022-10-13,1773817
2022-10-14,1775098
2022-10-15,1776677
2022-10-16,1778237
