date,count
2022-08-24,653408
2022-08-25,653995
2022-08-26,654556
2022-08-27,655184
2022-08-28,655766
2022-08-29,656302
2022-08-30,656922
2022-08-31,657498
2022-09-01,657962
2022-09-02,658400
2022-09-03,659133
2022-09-04,659766
2022-09-05,660300
2022-09-06,660820
2022-09-07,661303
2022-09-08,661819
2022-09-09,662288
2022-09-10,662896
2022-09-11,663490
2022-09-12,663953
2022-09-13,664376
2022-09-14,664853
2022-09-15,665359
2022-09-16,665805
2022-09-17,666393
2022-09-18,667007
2022-09-19,667623
2022-09-20,668065
2022-09-21,668489
2022-09-22,668955
2022-09-23,669623
2022-09-24,670276
2022-09-25,670904
2022-09-26,671452
2022-09-27,671972
2022-09-28,672473
2022-09-29,673068
2022-09-30,673493
2022-10-01,674130
2022-10-02,674770
2022-10-03,675309
2022-10-04,675839
2022-10-05,676393
2022-10-06,677004
2022-10-07,677635
