date,count
2022-08-24,1352043
2022-08-25,1354298
2022-08-26,1356462
2022-08-27,1358919
2022-08-28,1361075
2022-08-29,1363118
2022-08-30,1365250
2022-08-31,1367329
2022-09-01,1369099
2022-09-02,1370792
2022-09-03,1373201
2022-09-04,1375516
2022-09-05,1377336
2022-09-06,1379160
2022-09-07,1380938
2022-09-08,1382840
2022-09-09,1384466
2022-09-10,1386694
2022-09-11,1388882
2022-09-12,1390622
2022-09-13,1392252
2022-09-14,1393911
2022-09-15,1395781
2022-09-16,1397521
2022-09-17,1399816
2022-09-18,1402137
2022-09-19,1404330
2022-09-20,1406166
2022-09-21,1408185
2022-09-22,1410273
2022-09-23,1412855
2022-09-24,1415417
2022-09-25,1418029
2022-09-26,1420840
2022-09-27,1423247
2022-09-28,1425636
2022-09-29,1428061
2022-09-30,1430206
2022-10-01,1433021
2022-10-02,1435912
2022-10-03,1438216
2022-10-04,1440620
2022-10-05,1442957
2022-10-06,1445292
2022-10-07,1447533
2022-10-08,1450320
2022-10-09,1452916
2022-10-10,1455538
2022-10-11,1457660
2022-10-12,1459737
2022-10-13,1461717
2022-10-14,1463670
2022-10-15,1465930
2022-10-16,1468329
2022-10-17,1470278
2022-10-18,1472199
2022-10-19,1474216
2022-10-20,1476056
2022-10-21,1477775
2022-10-22,1479828
2022-10-23,1481879
2022-10-24,1483417
2022-10-25,1484793
2022-10-26,1486158
2022-10-27,1487430
2022-10-28,1488735
2022-10-29,1490281
2022-10-30,1491863
2022-10-31,1493065
2022-11-01,1494208
2022-11-02,1495392
2022-11-03,1496845
2022-11-04,1497990
2022-11-05,1499377
2022-11-06,1500661
2022-11-07,1501894
2022-11-08,1503033
2022-11-09,1504171
2022-11-10,1505229
