date,count
2022-08-24,3446350
2022-08-25,3449582
2022-08-26,3452818
2022-08-27,3455889
2022-08-28,3458995
2022-08-29,3461943
2022-08-30,3464835
2022-08-31,3467649
2022-09-01,3470383
2022-09-02,3472749
2022-09-03,3475954
2022-09-04,3479019
2022-09-05,3481559
2022-09-06,3484188
2022-09-07,3486673
2022-09-08,3489089
2022-09-09,3491486
2022-09-10,3494555
2022-09-11,3497484
2022-09-12,3499859
2022-09-13,3502085
2022-09-14,3504352
2022-09-15,3506901
2022-09-16,3509314
2022-09-17,3512353
2022-09-18,3515446
2022-09-19,3518404
2022-09-20,3520740
2022-09-21,3523268
2022-09-22,3525750
2022-09-23,3528680
2022-09-24,3531670
2022-09-25,3534688
2022-09-26,3537135
2022-09-27,3539660
2022-09-28,3542220
2022-09-29,3545036
2022-09-30,3547370
2022-10-01,3550387
2022-10-02,3553665
2022-10-03,3556574
2022-10-04,3559740
2022-10-05,3562855
2022-10-06,3566581
2022-10-07,3570084
2022-10-08,3573748
2022-10-09,3576962
2022-10-10,3580752
2022-10-11,3583569
2022-10-12,3586518
2022-10-13,3589222
2022-10-14,3591876
2022-10-15,3594993
2022-10-16,3598313
2022-10-17,3601251
2022-10-18,3603992
2022-10-19,3606542
2022-10-20,3609154
2022-10-21,3611710
2022-10-22,3615101
2022-10-23,3618336
2022-10-24,3620956
2022-10-25,3623300
2022-10-26,3625751
2022-10-27,3628269
2022-10-28,3631303
2022-10-29,3634693
2022-10-30,3638199
2022-10-31,3641254
2022-11-01,3644131
2022-11-02,3647008
2022-11-03,3650488
2022-11-04,3653182
