date,count
2022-09-22,0
2022-09-23,0
2022-09-24,0
2022-09-25,0
2022-09-26,0
2022-09-27,0
2022-09-28,72628
2022-09-29,321287
2022-09-30,397441
2022-10-01,476849
2022-10-02,546871
2022-10-03,608049
2022-10-04,673376
2022-10-05,733028
2022-10-06,787460
2022-10-07,839159
2022-10-08,894405
2022-10-09,943041
2022-10-10,993174
2022-10-11,1038529
2022-10-12,1081396
2022-10-13,1125110
2022-10-14,1166492
2022-10-15,1210515
2022-10-16,1253351
2022-10-17,1294338
2022-10-18,1332702
2022-10-19,1368704
2022-10-20,1405356
2022-10-21,1440992
2022-10-22,1480615
2022-10-23,1518987
2022-10-24,1553806
2022-10-25,1585630
2022-10-26,1617322
2022-10-27,1647831
2022-10-28,1679505
2022-10-29,1712317
2022-10-30,1747252
2022-10-31,1777707
2022-11-01,1806617
2022-11-02,1834662
2022-11-03,1865524
2022-11-04,1892457
2022-11-05,1921002
2022-11-06,1948248
2022-11-07,1977874
2022-11-08,2004075
2022-11-09,2028953
2022-11-10,2053033
2022-11-11,2076946
2022-11-12,2107316
2022-11-13,2136585
2022-11-14,2163096
2022-11-15,2187814
2022-11-16,2212445
2022-11-17,2237049
2022-11-18,2260466
2022-11-19,2285320
2022-11-20,2310662
2022-11-21,2332960
2022-11-22,2355058
2022-11-23,2379569
2022-11-24,2402655
2022-11-25,2424960
2022-11-26,2449483
2022-11-27,2474911
2022-11-28,2497309
2022-11-29,2519930
2022-11-30,2541125
2022-12-01,2561322
2022-12-02,2581429
2022-12-03,2603669
2022-12-04,2625252
2022-12-05,2643757
2022-12-06,2663289
2022-12-07,2681428
2022-12-08,2699023
2022-12-09,2716015
2022-12-10,2735427
2022-12-11,2754007
2022-12-12,2771896
2022-12-13,2789744
2022-12-14,2806490
2022-12-15,2822932
2022-12-16,2840529
2022-12-17,2858604
2022-12-18,2876821
2022-12-19,2893260
2022-12-20,2910465
2022-12-21,2927507
2022-12-22,2944746
2022-12-23,2963641
2022-12-24,2981381
2022-12-25,2999118
2022-12-26,3018472
2022-12-27,3038991
2022-12-28,3058851
2022-12-29,3077598
2022-12-30,3094469
2022-12-31,3111813
2023-01-01,3124846
