date,count
2022-09-29,0
2022-09-30,765171
2022-10-01,1109790
2022-10-02,1351636
2022-10-03,1517773
2022-10-04,1664892
2022-10-05,1774152
2022-10-06,1870071
2022-10-07,1955324
2022-10-08,2043744
2022-10-09,2120817
2022-10-10,2199392
2022-10-11,2263294
2022-10-12,2318478
2022-10-13,2368465
2022-10-14,2414434
2022-10-15,2467411
2022-10-16,2516506
2022-10-17,2554872
2022-10-18,2589452
2022-10-19,2623507
2022-10-20,2658842
2022-10-21,2692765
2022-10-22,2733427
2022-10-23,2774383
2022-10-24,2806507
2022-10-25,2835652
2022-10-26,2865916
2022-10-27,2894530
2022-10-28,2925045
2022-10-29,2962517
2022-10-30,3004181
2022-10-31,3036423
2022-11-01,3064261
2022-11-02,3091276
2022-11-03,3123836
2022-11-04,3149497
2022-11-05,3179668
2022-11-06,3207606
2022-11-07,3234843
2022-11-08,3258790
2022-11-09,3281850
2022-11-10,3303783
2022-11-11,3324949
2022-11-12,3354387
2022-11-13,3382781
2022-11-14,3404414
2022-11-15,3423502
2022-11-16,3442299
2022-11-17,3460386
2022-11-18,3478238
2022-11-19,3500491
2022-11-20,3522810
2022-11-21,3540187
2022-11-22,3556692
2022-11-23,3577549
2022-11-24,3594449
2022-11-25,3611064
2022-11-26,3632008
2022-11-27,3653421
2022-11-28,3670001
2022-11-29,3687138
2022-11-30,3703943
2022-12-01,3719886
2022-12-02,3735986
2022-12-03,3755717
2022-12-04,3775764
2022-12-05,3790953
2022-12-06,3806499
2022-12-07,3820688
2022-12-08,3835492
2022-12-09,3849636
2022-12-10,3867329
2022-12-11,3884864
2022-12-12,3899749
2022-12-13,3913412
2022-12-14,3928334
2022-12-15,3943903
2022-12-16,3958878
2022-12-17,3978152
2022-12-18,3996839
2022-12-19,4012147
2022-12-20,4027620
2022-12-21,4043450
2022-12-22,4059564
2022-12-23,4075897
2022-12-24,4092459
2022-12-25,4109392
2022-12-26,4127164
2022-12-27,4145420
2022-12-28,4164379
2022-12-29,4183460
2022-12-30,4201737
2022-12-31,4219392
2023-01-01,4234187
2023-01-02,4249257
2023-01-03,4265950
2023-01-04,4281823
2023-01-05,4297459
2023-01-06,4313207
2023-01-07,4328210
2023-01-08,4342766
2023-01-09,4360158
2023-01-10,4369423
2023-01-11,4387023
2023-01-12,4400954
2023-01-13,4413836
2023-01-14,4429982
2023-01-15,4446589
2023-01-16,4459969
2023-01-17,4472732
2023-01-18,4485413
2023-01-19,4498026
2023-01-20,4512411
2023-01-21,4529975
2023-01-22,4550480
2023-01-23,4567406
2023-01-24,4584519
2023-01-25,4602132
2023-01-26,4617156
2023-01-27,4632051
2023-01-28,4648493
2023-01-29,4666128
