date,count
2022-10-18,0
2022-10-19,39807
2022-10-20,167563
2022-10-21,199995
2022-10-22,225439
2022-10-23,246052
2022-10-24,262482
2022-10-25,277250
2022-10-26,291111
2022-10-27,304056
2022-10-28,318560
2022-10-29,333799
2022-10-30,348954
2022-10-31,361249
2022-11-01,372480
2022-11-02,383151
2022-11-03,395705
2022-11-04,405837
2022-11-05,417047
2022-11-06,426907
2022-11-07,436101
2022-11-08,444704
2022-11-09,453350
2022-11-10,461936
2022-11-11,470461
2022-11-12,481077
2022-11-13,491657
2022-11-14,501321
2022-11-15,510098
2022-11-16,518509
2022-11-17,526685
2022-11-18,534927
2022-11-19,544755
2022-11-20,553973
2022-11-21,561598
2022-11-22,569556
2022-11-23,578646
2022-11-24,586381
2022-11-25,593739
2022-11-26,601798
2022-11-27,609969
2022-11-28,616488
2022-11-29,623796
2022-11-30,630562
2022-12-01,637001
2022-12-02,643428
2022-12-03,650810
2022-12-04,658335
2022-12-05,664696
2022-12-06,671269
2022-12-07,677927
2022-12-08,684635
2022-12-09,691090
2022-12-10,698829
2022-12-11,705629
2022-12-12,711329
2022-12-13,717338
2022-12-14,723001
2022-12-15,728492
2022-12-16,734307
2022-12-17,740520
