date,count
2023-03-28,45037
2023-03-29,450448
2023-03-30,626215
2023-03-31,772030
2023-04-01,875747
2023-04-02,976296
2023-04-03,1075788
2023-04-04,1179222
2023-04-05,1276241
2023-04-06,1369204
2023-04-07,1472344
2023-04-08,1556552
2023-04-09,1631753
2023-04-10,1695843
2023-04-11,1751565
2023-04-12,1804538
2023-04-13,1855160
2023-04-14,1903892
2023-04-15,1956173
2023-04-16,2006488
2023-04-17,2048624
2023-04-18,2089748
2023-04-19,2133714
2023-04-20,2176017
2023-04-21,2217789
2023-04-22,2268218
2023-04-23,2320228
2023-04-24,2362512
2023-04-25,2399138
2023-04-26,2429923
2023-04-27,2456269
2023-04-28,2484810
2023-04-29,2518515
2023-04-30,2551678
2023-05-01,2580504
2023-05-02,2610434
2023-05-03,2643566
2023-05-04,2675480
2023-05-05,2711260
2023-05-06,2749875
2023-05-07,2788845
2023-05-08,2822407
2023-05-09,2852574
2023-05-10,2885937
2023-05-11,2919162
2023-05-12,2950019
2023-05-13,2981999
2023-05-14,3012182
2023-05-15,3038041
