date,count
2022-08-24,451710
2022-08-25,452029
2022-08-26,452324
2022-08-27,452646
2022-08-28,452943
2022-08-29,453225
2022-08-30,453536
2022-08-31,453827
2022-09-01,454066
2022-09-02,454273
2022-09-03,454592
2022-09-04,454911
2022-09-05,455142
2022-09-06,455380
2022-09-07,455622
2022-09-08,455897
2022-09-09,456144
2022-09-10,456410
2022-09-11,456730
2022-09-12,456957
2022-09-13,457189
2022-09-14,457406
2022-09-15,457649
2022-09-16,457850
2022-09-17,458111
2022-09-18,458389
2022-09-19,458656
2022-09-20,458862
2022-09-21,459104
2022-09-22,459317
2022-09-23,459590
2022-09-24,459872
2022-09-25,460182
2022-09-26,460409
2022-09-27,460666
2022-09-28,460915
2022-09-29,461163
2022-09-30,461368
2022-10-01,461681
2022-10-02,462061
2022-10-03,462359
2022-10-04,462648
2022-10-05,462913
2022-10-06,463242
2022-10-07,463548
2022-10-08,463916
2022-10-09,464268
2022-10-10,464616
2022-10-11,464902
2022-10-12,465157
2022-10-13,465411
2022-10-14,465665
2022-10-15,465947
2022-10-16,466255
2022-10-17,466512
2022-10-18,466776
2022-10-19,467011
2022-10-20,467278
2022-10-21,467535
2022-10-22,467830
2022-10-23,468136
2022-10-24,468398
2022-10-25,468639
2022-10-26,468881
2022-10-27,469103
2022-10-28,469335
2022-10-29,469599
2022-10-30,469921
2022-10-31,470158
2022-11-01,470386
2022-11-02,470630
2022-11-03,470899
2022-11-04,471089
2022-11-05,471380
2022-11-06,471638
2022-11-07,471881
2022-11-08,472090
2022-11-09,472324
2022-11-10,472506
2022-11-11,472716
2022-11-12,472977
2022-11-13,473280
2022-11-14,473509
2022-11-15,473746
2022-11-16,473969
2022-11-17,474178
2022-11-18,474391
2022-11-19,474661
2022-11-20,474947
2022-11-21,475143
2022-11-22,475376
2022-11-23,475651
2022-11-24,475876
2022-11-25,476088
2022-11-26,476336
2022-11-27,476591
2022-11-28,476750
2022-11-29,476915
2022-11-30,477079
2022-12-01,477266
2022-12-02,477415
2022-12-03,477627
2022-12-04,477878
2022-12-05,478079
2022-12-06,478256
2022-12-07,478441
2022-12-08,478633
2022-12-09,478831
2022-12-10,479057
2022-12-11,479279
2022-12-12,479462
2022-12-13,479671
2022-12-14,479847
2022-12-15,480061
2022-12-16,480258
2022-12-17,480500
2022-12-18,480719
2022-12-19,480897
2022-12-20,481098
2022-12-21,481319
2022-12-22,481523
2022-12-23,481732
2022-12-24,481916
2022-12-25,482128
2022-12-26,482377
2022-12-27,482614
2022-12-28,482844
2022-12-29,483079
2022-12-30,483285
2022-12-31,483547
2023-01-01,483744
2023-01-02,483928
2023-01-03,484158
2023-01-04,484391
2023-01-05,484592
2023-01-06,484799
2023-01-07,485021
2023-01-08,485285
2023-01-09,485578
2023-01-10,485771
2023-01-11,485981
2023-01-12,486181
2023-01-13,486407
2023-01-14,486646
2023-01-15,486937
2023-01-16,487167
2023-01-17,487359
2023-01-18,487552
2023-01-19,487737
2023-01-20,487962
2023-01-21,488193
2023-01-22,488433
2023-01-23,488614
2023-01-24,488800
2023-01-25,488989
2023-01-26,489163
2023-01-27,489351
2023-01-28,489614
2023-01-29,489884
2023-01-30,490082
2023-01-31,490245
2023-02-01,490422
2023-02-02,490587
2023-02-03,490797
2023-02-04,491032
2023-02-05,491295
2023-02-06,491464
2023-02-07,491649
2023-02-08,491829
2023-02-09,492002
2023-02-10,492180
2023-02-11,492408
2023-02-12,492674
2023-02-13,492856
2023-02-14,493051
2023-02-15,493280
2023-02-16,493473
2023-02-17,493671
2023-02-18,493960
2023-02-19,494230
2023-02-20,494418
2023-02-21,494600
2023-02-22,494788
2023-02-23,495043
2023-02-24,495245
2023-02-25,495493
2023-02-26,495738
2023-02-27,495942
2023-02-28,496106
2023-03-01,496283
2023-03-02,496469
2023-03-03,496679
2023-03-04,496921
2023-03-05,497170
2023-03-06,497364
2023-03-07,497558
2023-03-08,497739
2023-03-09,497913
2023-03-10,498077
2023-03-11,498312
2023-03-12,498528
2023-03-13,498741
2023-03-14,498963
2023-03-15,499168
2023-03-16,499361
