date,count
2022-08-24,2039061
2022-08-25,2041205
2022-08-26,2043287
2022-08-27,2045388
2022-08-28,2047307
2022-08-29,2049124
2022-08-30,2050958
2022-08-31,2052863
2022-09-01,2054740
2022-09-02,2056342
2022-09-03,2058693
2022-09-04,2060870
2022-09-05,2062593
2022-09-06,2064321
2022-09-07,2066045
2022-09-08,2067816
2022-09-09,2069553
2022-09-10,2071595
2022-09-11,2073609
2022-09-12,2075280
2022-09-13,2076832
2022-09-14,2078428
2022-09-15,2080086
2022-09-16,2081787
2022-09-17,2083884
2022-09-18,2085900
2022-09-19,2087791
2022-09-20,2089320
2022-09-21,2090906
2022-09-22,2092554
2022-09-23,2094610
2022-09-24,2096570
2022-09-25,2098625
2022-09-26,2100221
2022-09-27,2101967
2022-09-28,2103611
2022-09-29,2105422
2022-09-30,2106905
2022-10-01,2108969
2022-10-02,2111160
2022-10-03,2112857
2022-10-04,2114732
2022-10-05,2116522
2022-10-06,2118418
2022-10-07,2120398
2022-10-08,2122648
2022-10-09,2124676
2022-10-10,2126858
2022-10-11,2128428
2022-10-12,2130056
2022-10-13,2131691
2022-10-14,2133280
2022-10-15,2135214
2022-10-16,2137196
2022-10-17,2138852
2022-10-18,2140594
2022-10-19,2142081
2022-10-20,2143790
2022-10-21,2145277
2022-10-22,2147142
2022-10-23,2148919
2022-10-24,2150350
2022-10-25,2151757
2022-10-26,2153108
2022-10-27,2154448
2022-10-28,2155916
2022-10-29,2157553
2022-10-30,2159249
2022-10-31,2160541
2022-11-01,2161784
2022-11-02,2163004
2022-11-03,2164557
2022-11-04,2165772
2022-11-05,2167220
2022-11-06,2168636
2022-11-07,2169925
2022-11-08,2171065
2022-11-09,2172365
2022-11-10,2173541
2022-11-11,2174748
2022-11-12,2176367
2022-11-13,2177924
2022-11-14,2179300
2022-11-15,2180609
2022-11-16,2181984
2022-11-17,2183373
2022-11-18,2184580
2022-11-19,2186195
2022-11-20,2187649
2022-11-21,2188847
2022-11-22,2189997
2022-11-23,2191473
2022-11-24,2192674
2022-11-25,2193824
2022-11-26,2195295
2022-11-27,2196728
2022-11-28,2197813
2022-11-29,2198924
