date,count
2023-01-19,39103
2023-01-20,183322
2023-01-21,229300
2023-01-22,256113
2023-01-23,274930
2023-01-24,293056
2023-01-25,308164
2023-01-26,322076
2023-01-27,334736
2023-01-28,348034
2023-01-29,361179
2023-01-30,373002
2023-01-31,383047
2023-02-01,392505
2023-02-02,401397
2023-02-03,410497
2023-02-04,420810
2023-02-05,430111
2023-02-06,437733
2023-02-07,445346
2023-02-08,452757
2023-02-09,460066
2023-02-10,468043
2023-02-11,475876
2023-02-12,484392
2023-02-13,491671
2023-02-14,499122
2023-02-15,506390
2023-02-16,512393
2023-02-17,518330
2023-02-18,527362
2023-02-19,535353
2023-02-20,542116
2023-02-21,548752
2023-02-22,555071
2023-02-23,562214
2023-02-24,568208
2023-02-25,574967
2023-02-26,581519
2023-02-27,586982
2023-02-28,592173
2023-03-01,597537
2023-03-02,602303
2023-03-03,607404
2023-03-04,612876
2023-03-05,618182
2023-03-06,622626
2023-03-07,627298
2023-03-08,631724
2023-03-09,636276
2023-03-10,641262
2023-03-11,646778
2023-03-12,651789
2023-03-13,657328
2023-03-14,662513
2023-03-15,667624
2023-03-16,672289
2023-03-17,677031
2023-03-18,681598
2023-03-19,686433
2023-03-20,691613
2023-03-21,696308
2023-03-22,700599
2023-03-23,704992
2023-03-24,710206
2023-03-25,715088
2023-03-26,720174
2023-03-27,725108
2023-03-28,729600
2023-03-29,735668
2023-03-30,741145
2023-03-31,746806
2023-04-01,751642
2023-04-02,756435
2023-04-03,761856
2023-04-04,767518
2023-04-05,773100
2023-04-06,778355
2023-04-07,783646
2023-04-08,789216
2023-04-09,794855
2023-04-10,799499
2023-04-11,803929
2023-04-12,808388
2023-04-13,812643
2023-04-14,816504
2023-04-15,820884
2023-04-16,825423
2023-04-17,829200
2023-04-18,833011
2023-04-19,837023
2023-04-20,840555
2023-04-21,844537
2023-04-22,849398
2023-04-23,854371
2023-04-24,858122
2023-04-25,861810
2023-04-26,865305
2023-04-27,868484
2023-04-28,871747
2023-04-29,875752
2023-04-30,879623
