date,count
2022-08-24,842673
2022-08-25,843895
2022-08-26,845016
2022-08-27,846089
2022-08-28,847090
2022-08-29,848123
2022-08-30,849099
2022-08-31,850109
2022-09-01,850922
2022-09-02,851682
2022-09-03,852795
2022-09-04,853882
2022-09-05,854672
2022-09-06,855465
2022-09-07,856247
2022-09-08,857130
2022-09-09,857913
2022-09-10,858958
2022-09-11,860034
2022-09-12,860790
2022-09-13,861535
2022-09-14,862305
2022-09-15,863089
2022-09-16,863779
2022-09-17,864702
2022-09-18,865650
2022-09-19,866519
2022-09-20,867232
2022-09-21,867941
2022-09-22,868623
2022-09-23,869532
2022-09-24,870416
2022-09-25,871272
2022-09-26,871969
2022-09-27,872690
2022-09-28,873437
2022-09-29,874210
2022-09-30,874874
2022-10-01,875717
2022-10-02,876720
2022-10-03,877474
2022-10-04,878270
2022-10-05,879038
2022-10-06,879814
2022-10-07,880614
2022-10-08,881597
2022-10-09,882565
2022-10-10,883480
2022-10-11,884222
2022-10-12,884976
2022-10-13,885750
2022-10-14,886471
2022-10-15,887405
2022-10-16,888337
2022-10-17,889026
2022-10-18,889672
2022-10-19,890401
2022-10-20,891162
2022-10-21,891793
2022-10-22,892642
2022-10-23,893485
2022-10-24,894175
2022-10-25,894825
2022-10-26,895443
2022-10-27,896084
2022-10-28,896812
2022-10-29,897683
2022-10-30,898526
2022-10-31,899164
2022-11-01,899766
2022-11-02,900370
2022-11-03,901181
2022-11-04,901789
2022-11-05,902568
2022-11-06,903313
2022-11-07,903924
2022-11-08,904518
2022-11-09,905159
2022-11-10,905777
2022-11-11,906408
2022-11-12,907236
2022-11-13,908111
2022-11-14,908810
2022-11-15,909525
2022-11-16,910152
2022-11-17,910828
2022-11-18,911492
2022-11-19,912206
2022-11-20,912950
2022-11-21,913541
2022-11-22,914139
2022-11-23,914874
2022-11-24,915439
2022-11-25,916008
2022-11-26,916735
2022-11-27,917489
2022-11-28,918007
2022-11-29,918530
2022-11-30,919043
2022-12-01,919557
2022-12-02,920079
2022-12-03,920705
2022-12-04,921387
2022-12-05,921927
2022-12-06,922441
2022-12-07,922987
2022-12-08,923496
2022-12-09,924064
2022-12-10,924693
2022-12-11,925306
2022-12-12,925809
2022-12-13,926387
2022-12-14,926887
2022-12-15,927462
2022-12-16,928000
2022-12-17,928718
2022-12-18,929347
2022-12-19,929851
2022-12-20,930368
2022-12-21,930922
2022-12-22,931490
2022-12-23,932096
2022-12-24,932689
2022-12-25,933305
2022-12-26,933980
2022-12-27,934668
2022-12-28,935356
2022-12-29,936030
2022-12-30,936647
2022-12-31,937239
2023-01-01,937761
2023-01-02,938316
2023-01-03,938914
2023-01-04,939533
2023-01-05,940138
2023-01-06,940777
2023-01-07,941441
2023-01-08,942080
2023-01-09,942788
2023-01-10,943374
2023-01-11,944038
2023-01-12,944660
2023-01-13,945217
2023-01-14,945966
2023-01-15,946709
2023-01-16,947308
2023-01-17,947851
2023-01-18,948418
2023-01-19,948993
2023-01-20,949584
2023-01-21,950405
2023-01-22,951144
2023-01-23,951711
2023-01-24,952298
2023-01-25,952916
2023-01-26,953486
2023-01-27,954057
2023-01-28,954805
2023-01-29,955598
2023-01-30,956200
2023-01-31,956788
2023-02-01,957372
2023-02-02,957914
2023-02-03,958513
2023-02-04,959152
2023-02-05,959843
2023-02-06,960386
2023-02-07,960963
2023-02-08,961542
2023-02-09,962067
2023-02-10,962627
2023-02-11,963259
2023-02-12,964026
2023-02-13,964577
2023-02-14,965163
2023-02-15,965800
2023-02-16,966353
2023-02-17,966898
2023-02-18,967558
2023-02-19,968251
2023-02-20,968797
2023-02-21,969360
2023-02-22,969917
2023-02-23,970616
2023-02-24,971180
2023-02-25,971849
2023-02-26,972483
2023-02-27,972968
2023-02-28,973419
2023-03-01,973898
2023-03-02,974338
2023-03-03,974797
2023-03-04,975384
2023-03-05,976016
2023-03-06,976489
2023-03-07,976948
2023-03-08,977424
2023-03-09,977874
2023-03-10,978391
2023-03-11,978933
2023-03-12,979471
2023-03-13,979977
2023-03-14,980468
2023-03-15,980927
2023-03-16,981428
2023-03-17,981903
2023-03-18,982440
2023-03-19,982989
2023-03-20,983476
2023-03-21,984044
2023-03-22,984473
2023-03-23,984938
2023-03-24,985598
2023-03-25,986157
2023-03-26,986785
2023-03-27,987369
2023-03-28,987875
2023-03-29,988480
2023-03-30,989084
2023-03-31,989699
2023-04-01,990229
2023-04-02,990757
2023-04-03,991341
2023-04-04,991983
2023-04-05,992598
2023-04-06,993194
2023-04-07,993779
2023-04-08,994366
2023-04-09,994916
2023-04-10,995386
2023-04-11,995825
2023-04-12,996314
2023-04-13,996696
2023-04-14,997116
2023-04-15,997626
2023-04-16,998116
2023-04-17,998490
2023-04-18,998848
2023-04-19,999292
2023-04-20,999689
2023-04-21,1000102
2023-04-22,1000658
2023-04-23,1001192
2023-04-24,1001569
2023-04-25,1001995
2023-04-26,1002356
2023-04-27,1002689
2023-04-28,1003069
2023-04-29,1003554
