date,count
2022-08-24,6666548
2022-08-25,6675811
2022-08-26,6684763
2022-08-27,6694445
2022-08-28,6703390
2022-08-29,6712177
2022-08-30,6721337
2022-08-31,6730479
2022-09-01,6738977
2022-09-02,6746373
2022-09-03,6756124
2022-09-04,6765464
2022-09-05,6772952
2022-09-06,6780525
2022-09-07,6788070
2022-09-08,6795395
2022-09-09,6802143
2022-09-10,6810382
2022-09-11,6818729
2022-09-12,6825617
2022-09-13,6832042
2022-09-14,6838506
2022-09-15,6845728
2022-09-16,6852457
2022-09-17,6860542
2022-09-18,6868744
2022-09-19,6876762
2022-09-20,6883423
2022-09-21,6889799
2022-09-22,6896340
2022-09-23,6904496
2022-09-24,6912272
2022-09-25,6920312
2022-09-26,6926982
2022-09-27,6933744
2022-09-28,6940440
2022-09-29,6947942
2022-09-30,6954378
2022-10-01,6962680
2022-10-02,6970710
2022-10-03,6977641
2022-10-04,6986144
2022-10-05,6992780
2022-10-06,6999309
2022-10-07,7005142
2022-10-08,7011622
2022-10-09,7017530
2022-10-10,7023842
2022-10-11,7028851
2022-10-12,7033833
2022-10-13,7038896
2022-10-14,7043566
2022-10-15,7049264
2022-10-16,7054838
2022-10-17,7059377
2022-10-18,7063667
2022-10-19,7067603
2022-10-20,7071727
2022-10-21,7075603
2022-10-22,7080371
2022-10-23,7084973
2022-10-24,7088661
2022-10-25,7092163
2022-10-26,7095982
2022-10-27,7099528
2022-10-28,7103466
2022-10-29,7107948
2022-10-30,7112814
2022-10-31,7116782
2022-11-01,7120555
2022-11-02,7124093
2022-11-03,7128181
2022-11-04,7131480
2022-11-05,7135215
2022-11-06,7138828
2022-11-07,7142249
2022-11-08,7145355
2022-11-09,7148813
2022-11-10,7151914
2022-11-11,7154991
2022-11-12,7159109
2022-11-13,7163220
2022-11-14,7166560
2022-11-15,7169818
2022-11-16,7173083
2022-11-17,7176406
2022-11-18,7179723
2022-11-19,7183670
2022-11-20,7187429
2022-11-21,7190319
2022-11-22,7193227
2022-11-23,7196796
2022-11-24,7199824
2022-11-25,7202693
2022-11-26,7205979
2022-11-27,7209229
2022-11-28,7211922
2022-11-29,7214621
2022-11-30,7217261
2022-12-01,7219915
2022-12-02,7222480
2022-12-03,7225964
2022-12-04,7229419
2022-12-05,7231894
2022-12-06,7234715
2022-12-07,7237560
2022-12-08,7240479
2022-12-09,7243280
2022-12-10,7246602
2022-12-11,7249614
2022-12-12,7252303
2022-12-13,7254850
2022-12-14,7257324
2022-12-15,7259678
2022-12-16,7262018
2022-12-17,7264899
2022-12-18,7267517
2022-12-19,7269797
2022-12-20,7272233
2022-12-21,7274800
2022-12-22,7277270
2022-12-23,7279900
2022-12-24,7282467
2022-12-25,7284853
2022-12-26,7287910
2022-12-27,7290716
2022-12-28,7293543
2022-12-29,7296287
2022-12-30,7298781
2022-12-31,7301424
2023-01-01,7303518
2023-01-02,7305716
2023-01-03,7308158
2023-01-04,7310699
2023-01-05,7313404
2023-01-06,7315905
2023-01-07,7318386
2023-01-08,7320848
2023-01-09,7323747
2023-01-10,7325886
2023-01-11,7328489
2023-01-12,7331010
2023-01-13,7333430
2023-01-14,7336593
2023-01-15,7339552
2023-01-16,7341999
2023-01-17,7344415
2023-01-18,7346815
2023-01-19,7349122
2023-01-20,7351624
2023-01-21,7354501
2023-01-22,7357360
2023-01-23,7359723
2023-01-24,7362162
2023-01-25,7364582
2023-01-26,7366872
2023-01-27,7369187
2023-01-28,7372035
2023-01-29,7374893
2023-01-30,7377449
2023-01-31,7379828
2023-02-01,7382270
2023-02-02,7384776
2023-02-03,7387226
2023-02-04,7390155
2023-02-05,7393063
2023-02-06,7395398
2023-02-07,7397800
2023-02-08,7400247
2023-02-09,7402441
2023-02-10,7404864
2023-02-11,7407239
2023-02-12,7410091
2023-02-13,7412428
2023-02-14,7414830
2023-02-15,7417403
2023-02-16,7419679
2023-02-17,7421941
2023-02-18,7424912
2023-02-19,7427871
2023-02-20,7430234
2023-02-21,7432570
2023-02-22,7434855
2023-02-23,7437499
2023-02-24,7439819
2023-02-25,7442466
2023-02-26,7444884
2023-02-27,7446999
2023-02-28,7449153
2023-03-01,7451450
2023-03-02,7453513
2023-03-03,7455797
2023-03-04,7458249
2023-03-05,7460676
2023-03-06,7462779
2023-03-07,7464864
2023-03-08,7467023
2023-03-09,7469042
2023-03-10,7471239
2023-03-11,7473741
2023-03-12,7476031
2023-03-13,7478216
2023-03-14,7480383
2023-03-15,7482549
2023-03-16,7484796
2023-03-17,7486923
2023-03-18,7489288
2023-03-19,7491612
2023-03-20,7493861
2023-03-21,7496142
2023-03-22,7498386
2023-03-23,7500723
2023-03-24,7503515
2023-03-25,7506025
2023-03-26,7508594
2023-03-27,7511111
2023-03-28,7513570
2023-03-29,7516386
2023-03-30,7519030
2023-03-31,7521995
2023-04-01,7524488
2023-04-02,7527168
2023-04-03,7530247
2023-04-04,7533292
2023-04-05,7536268
2023-04-06,7539234
