date,count
2023-03-01,626388
2023-03-02,720895
2023-03-03,813023
2023-03-04,893356
2023-03-05,967067
2023-03-06,1032208
2023-03-07,1094160
2023-03-08,1151236
2023-03-09,1207203
2023-03-10,1262961
2023-03-11,1317361
2023-03-12,1368502
2023-03-13,1420025
2023-03-14,1466789
2023-03-15,1515198
2023-03-16,1560856
2023-03-17,1602857
2023-03-18,1645449
2023-03-19,1687862
2023-03-20,1739658
2023-03-21,1783027
2023-03-22,1825113
2023-03-23,1867702
2023-03-24,1912560
2023-03-25,1954770
2023-03-26,1996847
2023-03-27,2041624
2023-03-28,2081204
2023-03-29,2123556
2023-03-30,2163675
2023-03-31,2203199
2023-04-01,2238490
2023-04-02,2276132
2023-04-03,2316194
2023-04-04,2357061
2023-04-05,2397506
2023-04-06,2438484
2023-04-07,2479504
2023-04-08,2517611
2023-04-09,2556430
2023-04-10,2590882
2023-04-11,2624424
2023-04-12,2655478
2023-04-13,2684666
2023-04-14,2713315
2023-04-15,2743966
2023-04-16,2775041
2023-04-17,2802941
2023-04-18,2828940
2023-04-19,2855439
2023-04-20,2881257
2023-04-21,2905745
2023-04-22,2934253
