date,count
2022-08-24,599131
2022-08-25,599850
2022-08-26,600568
2022-08-27,601376
2022-08-28,602097
2022-08-29,602767
2022-08-30,603444
2022-08-31,604176
2022-09-01,604783
2022-09-02,605326
2022-09-03,606112
2022-09-04,606873
2022-09-05,607457
2022-09-06,608064
2022-09-07,608640
2022-09-08,609308
2022-09-09,609900
2022-09-10,610587
2022-09-11,611298
2022-09-12,611894
2022-09-13,612436
2022-09-14,612975
2022-09-15,613571
2022-09-16,614095
2022-09-17,614774
2022-09-18,615466
2022-09-19,616114
2022-09-20,616679
2022-09-21,617170
2022-09-22,617742
2022-09-23,618432
2022-09-24,619124
2022-09-25,619839
2022-09-26,620431
2022-09-27,621058
2022-09-28,621713
2022-09-29,622423
2022-09-30,622962
2022-10-01,623744
2022-10-02,624668
2022-10-03,625398
2022-10-04,626142
2022-10-05,626777
2022-10-06,627518
2022-10-07,628375
2022-10-08,629312
2022-10-09,630174
2022-10-10,630964
2022-10-11,631628
2022-10-12,632315
2022-10-13,633039
2022-10-14,633708
2022-10-15,634536
2022-10-16,635351
2022-10-17,636052
2022-10-18,636717
2022-10-19,637359
2022-10-20,638075
2022-10-21,638658
2022-10-22,639395
2022-10-23,640128
2022-10-24,640747
2022-10-25,641305
2022-10-26,641906
2022-10-27,642443
2022-10-28,643044
2022-10-29,643724
2022-10-30,644454
2022-10-31,645017
2022-11-01,645554
2022-11-02,646086
2022-11-03,646698
2022-11-04,647209
2022-11-05,647800
2022-11-06,648349
2022-11-07,648900
2022-11-08,649349
2022-11-09,649862
2022-11-10,650327
2022-11-11,650813
2022-11-12,651473
2022-11-13,652157
2022-11-14,652715
2022-11-15,653263
2022-11-16,653826
2022-11-17,654355
2022-11-18,654897
2022-11-19,655583
2022-11-20,656177
2022-11-21,656681
2022-11-22,657182
2022-11-23,657783
2022-11-24,658275
2022-11-25,658795
2022-11-26,659362
2022-11-27,659950
2022-11-28,660387
2022-11-29,660848
2022-11-30,661275
2022-12-01,661697
2022-12-02,662115
2022-12-03,662669
2022-12-04,663240
2022-12-05,663691
2022-12-06,664174
2022-12-07,664676
2022-12-08,665150
2022-12-09,665618
2022-12-10,666220
2022-12-11,666755
2022-12-12,667173
2022-12-13,667673
2022-12-14,668132
2022-12-15,668573
2022-12-16,669014
2022-12-17,669560
2022-12-18,670080
2022-12-19,670533
2022-12-20,671016
2022-12-21,671522
2022-12-22,672021
2022-12-23,672491
2022-12-24,672987
2022-12-25,673514
2022-12-26,674017
2022-12-27,674538
2022-12-28,675092
2022-12-29,675607
2022-12-30,676137
2022-12-31,676668
2023-01-01,677061
2023-01-02,677520
2023-01-03,678040
2023-01-04,678557
2023-01-05,679036
2023-01-06,679550
2023-01-07,680089
2023-01-08,680689
2023-01-09,681392
2023-01-10,681892
2023-01-11,682414
2023-01-12,682965
2023-01-13,683455
2023-01-14,684117
2023-01-15,684762
2023-01-16,685234
2023-01-17,685716
2023-01-18,686205
2023-01-19,686649
2023-01-20,687182
2023-01-21,687748
2023-01-22,688311
2023-01-23,688922
2023-01-24,689572
2023-01-25,690123
2023-01-26,690758
2023-01-27,691295
2023-01-28,691896
2023-01-29,692531
2023-01-30,693060
2023-01-31,693583
2023-02-01,694049
2023-02-02,694480
2023-02-03,694983
2023-02-04,695547
2023-02-05,696138
2023-02-06,696588
2023-02-07,697001
2023-02-08,697455
2023-02-09,697880
2023-02-10,698378
2023-02-11,698899
2023-02-12,699484
2023-02-13,699941
2023-02-14,700377
2023-02-15,700868
2023-02-16,701255
2023-02-17,701672
2023-02-18,702234
2023-02-19,702803
2023-02-20,703251
2023-02-21,703740
2023-02-22,704168
2023-02-23,704690
2023-02-24,705130
2023-02-25,705633
2023-02-26,706156
2023-02-27,706575
2023-02-28,706938
2023-03-01,707301
2023-03-02,707661
2023-03-03,708037
2023-03-04,708481
2023-03-05,708957
2023-03-06,709323
2023-03-07,709664
2023-03-08,710035
2023-03-09,710402
2023-03-10,710755
2023-03-11,711205
2023-03-12,711626
2023-03-13,712011
2023-03-14,712406
2023-03-15,712810
