date,count
2022-11-05,0
2022-11-06,103460
2022-11-07,227730
2022-11-08,262643
2022-11-09,287806
2022-11-10,306010
2022-11-11,323867
2022-11-12,345556
2022-11-13,366050
2022-11-14,380328
2022-11-15,392676
2022-11-16,404034
2022-11-17,413602
2022-11-18,422876
2022-11-19,433344
2022-11-20,442537
2022-11-21,451143
2022-11-22,459212
2022-11-23,469637
2022-11-24,478517
2022-11-25,486593
2022-11-26,495271
2022-11-27,503865
2022-11-28,510750
2022-11-29,519056
2022-11-30,526234
2022-12-01,532733
2022-12-02,539235
2022-12-03,546939
2022-12-04,554773
2022-12-05,560798
2022-12-06,566838
2022-12-07,572922
2022-12-08,578781
2022-12-09,584275
2022-12-10,591325
2022-12-11,597489
2022-12-12,602592
2022-12-13,607921
2022-12-14,612980
2022-12-15,617881
2022-12-16,622378
2022-12-17,628114
2022-12-18,633523
2022-12-19,638188
2022-12-20,643069
2022-12-21,648020
2022-12-22,652808
2022-12-23,657999
2022-12-24,663103
2022-12-25,667948
2022-12-26,673664
2022-12-27,679703
2022-12-28,685897
2022-12-29,691903
2022-12-30,697484
2022-12-31,702813
2023-01-01,707134
2023-01-02,711935
2023-01-03,717136
2023-01-04,722267
2023-01-05,727683
2023-01-06,732964
2023-01-07,738093
2023-01-08,743028
2023-01-09,749021
2023-01-10,752488
2023-01-11,758854
2023-01-12,764140
2023-01-13,768798
2023-01-14,774194
2023-01-15,780099
2023-01-16,785030
2023-01-17,789562
2023-01-18,794077
2023-01-19,798348
2023-01-20,802439
2023-01-21,807035
2023-01-22,812001
2023-01-23,816055
2023-01-24,820375
2023-01-25,825096
2023-01-26,829675
2023-01-27,834254
2023-01-28,839296
2023-01-29,844403
2023-01-30,849450
2023-01-31,854054
2023-02-01,858572
2023-02-02,862557
2023-02-03,866907
2023-02-04,871795
2023-02-05,876774
2023-02-06,881073
2023-02-07,885178
2023-02-08,888998
2023-02-09,892879
2023-02-10,897051
2023-02-11,900897
2023-02-12,905314
2023-02-13,909070
2023-02-14,913021
2023-02-15,917499
2023-02-16,921318
2023-02-17,924796
2023-02-18,929515
2023-02-19,934679
2023-02-20,939003
2023-02-21,943166
2023-02-22,947120
2023-02-23,951848
2023-02-24,956251
2023-02-25,960449
2023-02-26,964312
2023-02-27,968515
2023-02-28,972236
2023-03-01,975884
2023-03-02,979317
2023-03-03,983515
2023-03-04,987961
2023-03-05,992378
2023-03-06,996237
2023-03-07,1000134
2023-03-08,1004258
2023-03-09,1008787
2023-03-10,1013550
2023-03-11,1018496
2023-03-12,1023566
2023-03-13,1028577
2023-03-14,1033193
2023-03-15,1037177
2023-03-16,1040906
2023-03-17,1044952
2023-03-18,1048151
2023-03-19,1051321
2023-03-20,1054736
2023-03-21,1057953
2023-03-22,1061261
2023-03-23,1064876
2023-03-24,1068858
2023-03-25,1072652
2023-03-26,1076398
