date,count
2022-08-24,715610
2022-08-25,716343
2022-08-26,717048
2022-08-27,718161
2022-08-28,728108
2022-08-29,730433
2022-08-30,731945
2022-08-31,733407
2022-09-01,734584
2022-09-02,735483
2022-09-03,736705
2022-09-04,737785
2022-09-05,738618
2022-09-06,739482
2022-09-07,740265
2022-09-08,743440
2022-09-09,747117
2022-09-10,749856
2022-09-11,751668
2022-09-12,752789
2022-09-13,753850
2022-09-14,754763
2022-09-15,755691
2022-09-16,756510
2022-09-17,757500
2022-09-18,758624
2022-09-19,759581
2022-09-20,760315
2022-09-21,761066
2022-09-22,761770
2022-09-23,762698
2022-09-24,763572
2022-09-25,764411
2022-09-26,765023
2022-09-27,765638
2022-09-28,766290
2022-09-29,766990
2022-09-30,767582
2022-10-01,768430
2022-10-02,769412
2022-10-03,770169
2022-10-04,770883
2022-10-05,771606
2022-10-06,772400
2022-10-07,773186
2022-10-08,774031
2022-10-09,774892
2022-10-10,775898
2022-10-11,776568
2022-10-12,777245
2022-10-13,777915
2022-10-14,778592
2022-10-15,779433
2022-10-16,780862
2022-10-17,782420
2022-10-18,784681
2022-10-19,787765
2022-10-20,791540
2022-10-21,794797
2022-10-22,800137
2022-10-23,803159
2022-10-24,804546
2022-10-25,805364
2022-10-26,806173
2022-10-27,806895
2022-10-28,807724
2022-10-29,808547
2022-10-30,809436
2022-10-31,810118
2022-11-01,810725
2022-11-02,811360
2022-11-03,812150
2022-11-04,812763
2022-11-05,813487
2022-11-06,814152
2022-11-07,814771
2022-11-08,815351
2022-11-09,815918
2022-11-10,816473
2022-11-11,817094
2022-11-12,817839
2022-11-13,818632
2022-11-14,819227
2022-11-15,820304
2022-11-16,822319
2022-11-17,823857
2022-11-18,824558
2022-11-19,825294
2022-11-20,826059
2022-11-21,826652
2022-11-22,827273
2022-11-23,828055
2022-11-24,828622
2022-11-25,829290
2022-11-26,829908
2022-11-27,830677
2022-11-28,831345
2022-11-29,831924
2022-11-30,832473
2022-12-01,832993
2022-12-02,833549
2022-12-03,834285
2022-12-04,835079
2022-12-05,835608
2022-12-06,836150
2022-12-07,836698
2022-12-08,837268
2022-12-09,837828
2022-12-10,838441
2022-12-11,839056
2022-12-12,839590
2022-12-13,840083
2022-12-14,840611
2022-12-15,841100
2022-12-16,841596
2022-12-17,842265
2022-12-18,842871
2022-12-19,843362
2022-12-20,843864
2022-12-21,844364
2022-12-22,844869
2022-12-23,845387
2022-12-24,845876
2022-12-25,846432
2022-12-26,847046
2022-12-27,847683
2022-12-28,848336
2022-12-29,848943
2022-12-30,849679
2022-12-31,850420
2023-01-01,850930
2023-01-02,851541
2023-01-03,852138
2023-01-04,852717
2023-01-05,853280
2023-01-06,853920
2023-01-07,854476
2023-01-08,855087
2023-01-09,855733
2023-01-10,856226
