date,count
2022-08-24,1617267
2022-08-25,1621768
2022-08-26,1626210
2022-08-27,1630873
2022-08-28,1635430
2022-08-29,1639983
2022-08-30,1644655
2022-08-31,1648973
2022-09-01,1653195
2022-09-02,1657132
2022-09-03,1661830
2022-09-04,1666556
2022-09-05,1670643
2022-09-06,1674786
2022-09-07,1678673
2022-09-08,1682588
2022-09-09,1686450
2022-09-10,1690850
2022-09-11,1695136
2022-09-12,1699038
2022-09-13,1702723
2022-09-14,1706173
2022-09-15,1709965
2022-09-16,1713638
2022-09-17,1717871
2022-09-18,1722153
2022-09-19,1726295
2022-09-20,1729980
2022-09-21,1733678
2022-09-22,1737377
2022-09-23,1741538
2022-09-24,1745899
2022-09-25,1750555
2022-09-26,1754237
2022-09-27,1758310
