date,count
2022-08-24,1521655
2022-08-25,1527592
2022-08-26,1533067
2022-08-27,1538580
2022-08-28,1543893
2022-08-29,1549185
2022-08-30,1554477
2022-08-31,1559937
2022-09-01,1565389
2022-09-02,1570348
2022-09-03,1576436
2022-09-04,1582496
2022-09-05,1587983
2022-09-06,1593461
2022-09-07,1598533
2022-09-08,1603659
2022-09-09,1608430
2022-09-10,1614165
2022-09-11,1619954
2022-09-12,1624668
2022-09-13,1629166
2022-09-14,1633835
2022-09-15,1638735
2022-09-16,1643530
2022-09-17,1649012
2022-09-18,1654501
2022-09-19,1659753
2022-09-20,1664202
2022-09-21,1668807
2022-09-22,1673296
2022-09-23,1678565
2022-09-24,1683980
2022-09-25,1689470
2022-09-26,1694280
2022-09-27,1700178
2022-09-28,1705385
2022-09-29,1710796
2022-09-30,1715103
2022-10-01,1720247
2022-10-02,1726004
2022-10-03,1731045
2022-10-04,1736265
2022-10-05,1741535
2022-10-06,1747232
2022-10-07,1752671
2022-10-08,1758709
2022-10-09,1764773
2022-10-10,1771980
