date,count
2022-08-29,10
2022-08-30,195593
2022-08-31,238827
2022-09-01,266303
2022-09-02,286009
2022-09-03,306642
2022-09-04,325820
2022-09-05,342247
2022-09-06,356148
2022-09-07,369251
2022-09-08,382469
2022-09-09,393497
2022-09-10,405854
2022-09-11,418331
2022-09-12,428573
2022-09-13,437699
2022-09-14,446409
2022-09-15,455812
2022-09-16,464749
2022-09-17,474332
2022-09-18,484197
2022-09-19,493504
2022-09-20,501472
2022-09-21,509215
2022-09-22,517039
2022-09-23,525043
2022-09-24,533590
2022-09-25,541252
2022-09-26,548275
2022-09-27,555432
2022-09-28,562201
2022-09-29,569576
2022-09-30,575807
2022-10-01,584052
2022-10-02,592262
2022-10-03,598861
2022-10-04,606113
2022-10-05,612797
2022-10-06,620312
2022-10-07,627437
2022-10-08,634975
2022-10-09,642309
2022-10-10,650407
2022-10-11,656775
2022-10-12,662889
2022-10-13,669425
2022-10-14,675582
2022-10-15,682495
2022-10-16,689332
2022-10-17,695086
2022-10-18,700888
2022-10-19,706143
2022-10-20,712001
2022-10-21,717136
2022-10-22,723187
2022-10-23,728940
2022-10-24,734029
2022-10-25,738520
2022-10-26,742957
2022-10-27,747325
2022-10-28,752111
2022-10-29,756833
2022-10-30,761927
2022-10-31,765961
2022-11-01,769872
2022-11-02,773793
2022-11-03,778489
2022-11-04,782109
2022-11-05,786264
2022-11-06,790139
2022-11-07,794031
2022-11-08,797499
2022-11-09,801124
2022-11-10,804832
2022-11-11,808300
2022-11-12,813143
2022-11-13,820918
2022-11-14,825953
2022-11-15,830392
2022-11-16,834595
2022-11-17,838705
2022-11-18,842593
2022-11-19,847085
2022-11-20,851449
2022-11-21,855163
2022-11-22,858767
2022-11-23,862724
2022-11-24,866109
2022-11-25,869232
2022-11-26,872904
2022-11-27,876814
2022-11-28,879888
2022-11-29,882871
2022-11-30,885806
2022-12-01,888652
2022-12-02,891364
2022-12-03,894662
2022-12-04,897708
2022-12-05,900352
2022-12-06,903071
2022-12-07,905877
2022-12-08,908458
2022-12-09,911041
2022-12-10,914365
2022-12-11,917022
2022-12-12,919514
2022-12-13,922155
2022-12-14,924622
2022-12-15,927048
2022-12-16,929494
2022-12-17,932374
2022-12-18,935060
2022-12-19,937405
2022-12-20,940064
2022-12-21,942711
2022-12-22,945260
2022-12-23,947806
2022-12-24,950376
2022-12-25,952867
2022-12-26,955627
2022-12-27,958240
2022-12-28,960793
2022-12-29,963322
2022-12-30,965751
2022-12-31,968266
2023-01-01,970213
2023-01-02,972433
2023-01-03,974854
2023-01-04,977352
2023-01-05,979993
2023-01-06,982664
2023-01-07,985260
