date,count
2022-08-24,2615110
2022-08-25,2619547
2022-08-26,2623737
2022-08-27,2628158
2022-08-28,2632413
2022-08-29,2636772
2022-08-30,2640979
2022-08-31,2645317
2022-09-01,2649136
2022-09-02,2652767
2022-09-03,2657298
2022-09-04,2661582
2022-09-05,2665315
2022-09-06,2669131
2022-09-07,2672867
2022-09-08,2676635
2022-09-09,2680112
2022-09-10,2683827
2022-09-11,2687719
2022-09-12,2691349
2022-09-13,2694670
2022-09-14,2698093
2022-09-15,2701977
2022-09-16,2705767
2022-09-17,2709883
2022-09-18,2714195
2022-09-19,2718489
2022-09-20,2722443
2022-09-21,2726420
2022-09-22,2730779
2022-09-23,2735829
2022-09-24,2740593
2022-09-25,2745721
2022-09-26,2750117
2022-09-27,2754732
2022-09-28,2759542
2022-09-29,2766978
2022-09-30,2772526
2022-10-01,2778862
2022-10-02,2785766
2022-10-03,2792105
2022-10-04,2798667
2022-10-05,2805151
2022-10-06,2811664
2022-10-07,2818467
2022-10-08,2826499
2022-10-09,2833581
2022-10-10,2842410
2022-10-11,2850122
2022-10-12,2857169
2022-10-13,2864313
2022-10-14,2871227
