date,count
2022-11-24,332222
2022-11-25,390473
2022-11-26,437512
2022-11-27,476739
2022-11-28,505020
2022-11-29,535291
2022-11-30,557609
2022-12-01,574231
2022-12-02,590165
2022-12-03,609370
2022-12-04,626939
2022-12-05,640361
2022-12-06,653243
2022-12-07,665037
2022-12-08,676985
2022-12-09,688291
2022-12-10,702234
2022-12-11,714154
2022-12-12,724121
2022-12-13,732953
2022-12-14,741383
2022-12-15,749817
2022-12-16,758495
2022-12-17,767923
2022-12-18,776389
2022-12-19,783621
2022-12-20,791557
2022-12-21,799180
2022-12-22,806486
2022-12-23,814697
2022-12-24,822725
2022-12-25,829883
2022-12-26,838257
2022-12-27,847173
2022-12-28,856209
2022-12-29,864554
2022-12-30,872139
2022-12-31,880028
2023-01-01,885854
2023-01-02,891865
2023-01-03,898246
2023-01-04,904839
2023-01-05,911372
2023-01-06,917714
2023-01-07,923799
2023-01-08,929508
2023-01-09,936163
2023-01-10,940027
2023-01-11,947115
2023-01-12,952802
2023-01-13,958034
2023-01-14,964529
2023-01-15,971187
2023-01-16,976496
2023-01-17,981668
2023-01-18,986665
2023-01-19,991562
2023-01-20,996957
2023-01-21,1002763
2023-01-22,1008540
2023-01-23,1013562
2023-01-24,1019000
2023-01-25,1024944
2023-01-26,1030494
2023-01-27,1035927
2023-01-28,1041462
2023-01-29,1047248
2023-01-30,1052884
2023-01-31,1058045
2023-02-01,1063236
2023-02-02,1068368
2023-02-03,1073755
2023-02-04,1079562
2023-02-05,1085265
2023-02-06,1089963
2023-02-07,1094537
2023-02-08,1099401
2023-02-09,1104059
2023-02-10,1109477
2023-02-11,1115025
2023-02-12,1121119
2023-02-13,1126248
2023-02-14,1131276
2023-02-15,1136821
2023-02-16,1141373
2023-02-17,1145967
2023-02-18,1151815
2023-02-19,1157942
2023-02-20,1162658
2023-02-21,1167122
2023-02-22,1171646
2023-02-23,1176926
2023-02-24,1181656
2023-02-25,1186518
2023-02-26,1191185
2023-02-27,1195699
2023-02-28,1199915
2023-03-01,1204124
2023-03-02,1208248
2023-03-03,1212698
2023-03-04,1217226
2023-03-05,1222118
2023-03-06,1226546
2023-03-07,1231407
2023-03-08,1235866
2023-03-09,1240026
2023-03-10,1244516
2023-03-11,1248908
2023-03-12,1253036
2023-03-13,1257230
2023-03-14,1261468
2023-03-15,1266107
2023-03-16,1270356
2023-03-17,1274686
2023-03-18,1279174
2023-03-19,1283767
2023-03-20,1288725
2023-03-21,1293230
2023-03-22,1297915
2023-03-23,1302347
2023-03-24,1307154
2023-03-25,1311607
2023-03-26,1315814
2023-03-27,1320024
2023-03-28,1324073
2023-03-29,1328380
2023-03-30,1332509
2023-03-31,1336640
2023-04-01,1340355
2023-04-02,1344250
2023-04-03,1348654
2023-04-04,1353065
2023-04-05,1357131
2023-04-06,1361449
2023-04-07,1365711
2023-04-08,1370011
2023-04-09,1374250
2023-04-10,1377610
2023-04-11,1380631
2023-04-12,1383683
2023-04-13,1386602
2023-04-14,1389308
2023-04-15,1392735
2023-04-16,1396097
2023-04-17,1398944
2023-04-18,1401701
2023-04-19,1404736
2023-04-20,1407568
2023-04-21,1410266
2023-04-22,1413400
2023-04-23,1416644
2023-04-24,1419049
2023-04-25,1421291
2023-04-26,1423684
