date,count
2022-08-24,726725
2022-08-25,734449
2022-08-26,741362
2022-08-27,748338
2022-08-28,755212
2022-08-29,762635
2022-08-30,770792
2022-08-31,778417
2022-09-01,785361
2022-09-02,791402
2022-09-03,799220
2022-09-04,806990
2022-09-05,813639
2022-09-06,820220
2022-09-07,826679
2022-09-08,833062
2022-09-09,838783
2022-09-10,845442
2022-09-11,852391
2022-09-12,857895
2022-09-13,862805
2022-09-14,867667
2022-09-15,873017
2022-09-16,878038
2022-09-17,884425
2022-09-18,890493
2022-09-19,896439
2022-09-20,901526
2022-09-21,906787
2022-09-22,912375
2022-09-23,918852
2022-09-24,924944
2022-09-25,931436
2022-09-26,936592
2022-09-27,941811
2022-09-28,946947
2022-09-29,952529
