date,count
2022-08-24,2075859
2022-08-25,2079233
2022-08-26,2082691
2022-08-27,2086393
2022-08-28,2089877
2022-08-29,2093261
2022-08-30,2096736
2022-08-31,2100333
2022-09-01,2103633
2022-09-02,2106668
2022-09-03,2110410
2022-09-04,2113938
2022-09-05,2116943
2022-09-06,2120207
2022-09-07,2123447
2022-09-08,2126742
2022-09-09,2129703
2022-09-10,2133028
2022-09-11,2136088
2022-09-12,2139114
2022-09-13,2141792
2022-09-14,2144540
2022-09-15,2147625
2022-09-16,2150827
2022-09-17,2154471
2022-09-18,2157783
2022-09-19,2161071
2022-09-20,2164196
2022-09-21,2167272
2022-09-22,2170567
2022-09-23,2174278
2022-09-24,2177559
2022-09-25,2181016
2022-09-26,2184624
2022-09-27,2188373
2022-09-28,2192126
2022-09-29,2196394
2022-09-30,2199785
2022-10-01,2203737
2022-10-02,2208479
2022-10-03,2212950
2022-10-04,2217571
2022-10-05,2222061
2022-10-06,2226300
2022-10-07,2230685
2022-10-08,2235631
2022-10-09,2240132
2022-10-10,2245061
2022-10-11,2249470
2022-10-12,2253762
2022-10-13,2258156
2022-10-14,2262660
2022-10-15,2267321
2022-10-16,2271752
2022-10-17,2276195
2022-10-18,2280305
2022-10-19,2284127
2022-10-20,2288156
2022-10-21,2291765
2022-10-22,2295793
2022-10-23,2299671
2022-10-24,2303433
2022-10-25,2307390
2022-10-26,2311114
2022-10-27,2314746
2022-10-28,2318754
2022-10-29,2323253
2022-10-30,2327881
2022-10-31,2332312
2022-11-01,2336457
2022-11-02,2340645
2022-11-03,2344964
2022-11-04,2348757
2022-11-05,2352440
2022-11-06,2356129
2022-11-07,2360485
2022-11-08,2364153
2022-11-09,2367863
2022-11-10,2371499
2022-11-11,2375123
2022-11-12,2379336
2022-11-13,2383631
2022-11-14,2387600
2022-11-15,2391269
2022-11-16,2395197
2022-11-17,2399027
2022-11-18,2402784
2022-11-19,2406579
2022-11-20,2410073
2022-11-21,2413683
2022-11-22,2417195
2022-11-23,2420921
2022-11-24,2424409
2022-11-25,2427898
2022-11-26,2431425
2022-11-27,2435249
2022-11-28,2438932
2022-11-29,2442857
2022-11-30,2446594
2022-12-01,2450176
2022-12-02,2453769
2022-12-03,2457524
2022-12-04,2461475
2022-12-05,2464892
2022-12-06,2468356
2022-12-07,2472082
2022-12-08,2475457
2022-12-09,2478769
2022-12-10,2482312
2022-12-11,2485580
2022-12-12,2489142
2022-12-13,2492574
2022-12-14,2495873
2022-12-15,2499168
2022-12-16,2502147
2022-12-17,2505563
2022-12-18,2508866
2022-12-19,2512039
2022-12-20,2515299
2022-12-21,2518544
2022-12-22,2521630
2022-12-23,2524769
2022-12-24,2527552
2022-12-25,2530361
2022-12-26,2533561
2022-12-27,2536547
2022-12-28,2539447
2022-12-29,2542340
2022-12-30,2545127
2022-12-31,2547932
2023-01-01,2550353
2023-01-02,2553028
2023-01-03,2555658
2023-01-04,2558435
2023-01-05,2561155
2023-01-06,2564020
2023-01-07,2567006
2023-01-08,2569715
2023-01-09,2572993
2023-01-10,2575682
2023-01-11,2578971
2023-01-12,2581971
2023-01-13,2584664
2023-01-14,2587703
2023-01-15,2590740
2023-01-16,2593480
2023-01-17,2596341
2023-01-18,2598998
2023-01-19,2601728
2023-01-20,2604518
2023-01-21,2607272
2023-01-22,2610387
2023-01-23,2615671
2023-01-24,2621046
2023-01-25,2625249
2023-01-26,2629232
2023-01-27,2633113
2023-01-28,2636912
2023-01-29,2640723
2023-01-30,2644916
2023-01-31,2648660
2023-02-01,2652410
2023-02-02,2656293
2023-02-03,2660318
2023-02-04,2664638
2023-02-05,2668919
2023-02-06,2672764
2023-02-07,2676575
2023-02-08,2680246
2023-02-09,2683454
2023-02-10,2687099
2023-02-11,2690320
2023-02-12,2693785
2023-02-13,2697382
2023-02-14,2700981
2023-02-15,2704577
2023-02-16,2707826
2023-02-17,2711212
2023-02-18,2714807
2023-02-19,2718384
2023-02-20,2721737
2023-02-21,2725203
2023-02-22,2728712
2023-02-23,2732228
2023-02-24,2735654
2023-02-25,2739005
2023-02-26,2742174
2023-02-27,2745278
2023-02-28,2748333
2023-03-01,2751428
2023-03-02,2754601
2023-03-03,2757648
2023-03-04,2760816
2023-03-05,2763868
2023-03-06,2766761
2023-03-07,2769745
2023-03-08,2772783
2023-03-09,2775644
2023-03-10,2778504
2023-03-11,2781210
2023-03-12,2784160
2023-03-13,2786953
2023-03-14,2789590
2023-03-15,2792341
2023-03-16,2795035
2023-03-17,2797864
2023-03-18,2800542
2023-03-19,2803301
2023-03-20,2806036
2023-03-21,2808651
2023-03-22,2811130
2023-03-23,2813661
2023-03-24,2816477
2023-03-25,2819055
2023-03-26,2821927
2023-03-27,2824701
2023-03-28,2827452
2023-03-29,2830222
2023-03-30,2832919
2023-03-31,2835697
2023-04-01,2838490
2023-04-02,2841271
2023-04-03,2844422
2023-04-04,2848126
2023-04-05,2851515
2023-04-06,2855099
2023-04-07,2858834
2023-04-08,2862605
2023-04-09,2866054
2023-04-10,2869648
2023-04-11,2873008
2023-04-12,2876119
2023-04-13,2879123
2023-04-14,2882484
2023-04-15,2885777
2023-04-16,2889195
2023-04-17,2892742
2023-04-18,2895800
