date,count
2022-08-24,620571
2022-08-25,621666
2022-08-26,622782
2022-08-27,623965
2022-08-28,625235
2022-08-29,626465
2022-08-30,627562
2022-08-31,628674
2022-09-01,629645
2022-09-02,630532
2022-09-03,631785
2022-09-04,633003
2022-09-05,633934
2022-09-06,634846
2022-09-07,635714
2022-09-08,636787
2022-09-09,637701
2022-09-10,638825
2022-09-11,639915
2022-09-12,640757
2022-09-13,641530
2022-09-14,642284
2022-09-15,643102
2022-09-16,643871
2022-09-17,644852
2022-09-18,645875
2022-09-19,646871
2022-09-20,647629
2022-09-21,648352
2022-09-22,649128
2022-09-23,650128
2022-09-24,651211
2022-09-25,652325
2022-09-26,653213
2022-09-27,654054
2022-09-28,654908
2022-09-29,655823
2022-09-30,656623
2022-10-01,657854
2022-10-02,659260
2022-10-03,660309
2022-10-04,661391
