date,count
2022-10-27,0
2022-10-28,282563
2022-10-29,666478
2022-10-30,802281
2022-10-31,896648
2022-11-01,960184
2022-11-02,1008120
2022-11-03,1055679
2022-11-04,1091114
2022-11-05,1126306
2022-11-06,1157729
2022-11-07,1187509
2022-11-08,1212689
2022-11-09,1236647
2022-11-10,1259410
2022-11-11,1284473
2022-11-12,1319027
2022-11-13,1352048
2022-11-14,1378328
2022-11-15,1402584
2022-11-16,1425873
2022-11-17,1451372
2022-11-18,1473686
2022-11-19,1498492
2022-11-20,1521391
2022-11-21,1539834
2022-11-22,1558747
2022-11-23,1581993
2022-11-24,1601502
2022-11-25,1619535
2022-11-26,1641230
2022-11-27,1661867
2022-11-28,1679328
2022-11-29,1697477
2022-11-30,1714334
2022-12-01,1729643
2022-12-02,1744248
2022-12-03,1762852
2022-12-04,1781682
2022-12-05,1796291
2022-12-06,1811751
2022-12-07,1827810
2022-12-08,1843289
2022-12-09,1858532
2022-12-10,1876172
2022-12-11,1892731
2022-12-12,1907541
2022-12-13,1921370
2022-12-14,1934639
2022-12-15,1947780
2022-12-16,1961168
2022-12-17,1976649
2022-12-18,1991567
2022-12-19,2004469
2022-12-20,2017759
2022-12-21,2030673
2022-12-22,2043735
2022-12-23,2057306
2022-12-24,2070520
2022-12-25,2083827
2022-12-26,2099169
2022-12-27,2113749
2022-12-28,2127997
2022-12-29,2141524
2022-12-30,2154269
2022-12-31,2167508
2023-01-01,2178013
2023-01-02,2189168
2023-01-03,2200438
2023-01-04,2211708
2023-01-05,2223124
2023-01-06,2234641
2023-01-07,2246171
2023-01-08,2257723
2023-01-09,2271742
2023-01-10,2279736
2023-01-11,2294750
2023-01-12,2306852
2023-01-13,2317964
2023-01-14,2331836
2023-01-15,2345222
2023-01-16,2356027
2023-01-17,2367343
2023-01-18,2378102
2023-01-19,2388175
2023-01-20,2398582
2023-01-21,2410188
2023-01-22,2421707
2023-01-23,2431868
2023-01-24,2443055
2023-01-25,2454084
2023-01-26,2464607
2023-01-27,2475172
2023-01-28,2487202
2023-01-29,2499762
2023-01-30,2511536
2023-01-31,2523117
2023-02-01,2534275
2023-02-02,2544601
2023-02-03,2555308
2023-02-04,2567448
2023-02-05,2579057
2023-02-06,2588622
2023-02-07,2598503
2023-02-08,2608805
2023-02-09,2618006
2023-02-10,2628248
2023-02-11,2644507
2023-02-12,2663513
2023-02-13,2680347
2023-02-14,2701152
2023-02-15,2725898
2023-02-16,2748209
2023-02-17,2769139
2023-02-18,2792978
2023-02-19,2817949
2023-02-20,2838886
2023-02-21,2859062
2023-02-22,2878865
2023-02-23,2901705
2023-02-24,2920499
2023-02-25,2942170
2023-02-26,2964328
2023-02-27,2982284
2023-02-28,2999899
2023-03-01,3017514
2023-03-02,3034842
2023-03-03,3053380
2023-03-04,3074373
2023-03-05,3094705
2023-03-06,3113119
2023-03-07,3132310
2023-03-08,3150361
2023-03-09,3168026
2023-03-10,3186803
2023-03-11,3207694
2023-03-12,3226919
2023-03-13,3245241
2023-03-14,3261387
2023-03-15,3277479
2023-03-16,3294283
2023-03-17,3310957
2023-03-18,3327484
2023-03-19,3344248
2023-03-20,3364845
2023-03-21,3383990
2023-03-22,3402816
