date,count
2022-08-24,2586102
2022-08-25,2596500
2022-08-26,2605692
2022-08-27,2614981
2022-08-28,2624424
2022-08-29,2633742
2022-08-30,2642910
2022-08-31,2653096
2022-09-01,2662674
2022-09-02,2671743
2022-09-03,2684066
2022-09-04,2696103
2022-09-05,2708349
2022-09-06,2721407
2022-09-07,2734399
2022-09-08,2748105
2022-09-09,2761551
2022-09-10,2777261
2022-09-11,2794364
2022-09-12,2809579
2022-09-13,2823230
2022-09-14,2837318
2022-09-15,2852597
2022-09-16,2868013
2022-09-17,2885482
2022-09-18,2903928
2022-09-19,2920813
2022-09-20,2936226
2022-09-21,2952029
2022-09-22,2968463
2022-09-23,2986443
2022-09-24,3003826
2022-09-25,3022499
2022-09-26,3038135
2022-09-27,3053294
2022-09-28,3069208
2022-09-29,3086130
2022-09-30,3101300
2022-10-01,3118746
2022-10-02,3137333
2022-10-03,3152942
2022-10-04,3168920
2022-10-05,3183524
2022-10-06,3198360
2022-10-07,3212985
2022-10-08,3229362
2022-10-09,3245034
2022-10-10,3261107
2022-10-11,3274535
2022-10-12,3287518
2022-10-13,3300419
2022-10-14,3313138
2022-10-15,3327347
2022-10-16,3341841
