date,count
2022-08-24,2876430
2022-08-25,2880650
2022-08-26,2884422
2022-08-27,2888539
2022-08-28,2892923
2022-08-29,2897477
2022-08-30,2901813
2022-08-31,2906070
2022-09-01,2909677
2022-09-02,2912847
2022-09-03,2917219
2022-09-04,2921505
2022-09-05,2925045
2022-09-06,2928691
2022-09-07,2932474
2022-09-08,2936153
2022-09-09,2939612
2022-09-10,2943716
2022-09-11,2947724
2022-09-12,2951157
2022-09-13,2954398
2022-09-14,2957488
2022-09-15,2961146
2022-09-16,2964435
2022-09-17,2968163
2022-09-18,2972167
2022-09-19,2975937
2022-09-20,2979351
2022-09-21,2982558
2022-09-22,2985935
2022-09-23,2989958
2022-09-24,2993710
2022-09-25,2997544
2022-09-26,3001025
2022-09-27,3004667
2022-09-28,3008307
2022-09-29,3012234
2022-09-30,3015413
2022-10-01,3019073
2022-10-02,3023144
2022-10-03,3026621
2022-10-04,3030329
2022-10-05,3034409
2022-10-06,3038459
2022-10-07,3042366
2022-10-08,3046817
2022-10-09,3050908
2022-10-10,3055221
2022-10-11,3058878
2022-10-12,3062297
2022-10-13,3065657
2022-10-14,3069021
2022-10-15,3073011
2022-10-16,3077302
2022-10-17,3080783
2022-10-18,3084003
2022-10-19,3087265
2022-10-20,3090534
2022-10-21,3093514
2022-10-22,3097161
2022-10-23,3100822
2022-10-24,3104168
2022-10-25,3107343
2022-10-26,3110497
2022-10-27,3113798
2022-10-28,3117310
2022-10-29,3121210
2022-10-30,3125137
2022-10-31,3128663
2022-11-01,3131882
2022-11-02,3134941
2022-11-03,3138508
2022-11-04,3141445
2022-11-05,3144718
2022-11-06,3147929
2022-11-07,3151110
2022-11-08,3154035
2022-11-09,3156959
2022-11-10,3159820
2022-11-11,3162498
2022-11-12,3165841
2022-11-13,3169471
2022-11-14,3172713
