date,count
2023-01-25,369179
2023-01-26,432382
2023-01-27,475995
2023-01-28,520842
2023-01-29,558274
2023-01-30,588876
2023-01-31,615805
2023-02-01,636682
2023-02-02,655347
2023-02-03,672982
2023-02-04,692911
2023-02-05,712302
2023-02-06,727931
2023-02-07,742779
2023-02-08,758128
2023-02-09,772415
2023-02-10,788695
2023-02-11,804956
2023-02-12,821578
2023-02-13,834263
2023-02-14,846844
2023-02-15,859582
2023-02-16,870197
2023-02-17,880809
2023-02-18,894313
2023-02-19,908097
2023-02-20,919806
2023-02-21,931053
2023-02-22,941897
2023-02-23,954213
2023-02-24,965479
2023-02-25,977541
2023-02-26,987695
2023-02-27,998271
2023-02-28,1008478
2023-03-01,1018237
2023-03-02,1027650
2023-03-03,1038318
2023-03-04,1049027
2023-03-05,1059673
2023-03-06,1069295
2023-03-07,1079151
2023-03-08,1088779
2023-03-09,1097786
2023-03-10,1106325
2023-03-11,1116121
2023-03-12,1125625
2023-03-13,1134588
2023-03-14,1143404
2023-03-15,1152323
2023-03-16,1160842
2023-03-17,1169469
2023-03-18,1178506
2023-03-19,1187300
2023-03-20,1197726
2023-03-21,1207408
2023-03-22,1217096
2023-03-23,1226805
2023-03-24,1237690
2023-03-25,1247487
2023-03-26,1257102
2023-03-27,1266251
2023-03-28,1274880
2023-03-29,1283815
2023-03-30,1292741
2023-03-31,1301488
