date,count
2022-08-24,2388519
2022-08-25,2390902
2022-08-26,2393356
2022-08-27,2395864
2022-08-28,2398137
2022-08-29,2400516
2022-08-30,2402788
2022-08-31,2405301
2022-09-01,2407685
2022-09-02,2409881
2022-09-03,2412767
2022-09-04,2415337
2022-09-05,2417632
2022-09-06,2419931
2022-09-07,2422293
2022-09-08,2424651
2022-09-09,2426873
2022-09-10,2429322
2022-09-11,2431704
2022-09-12,2433832
2022-09-13,2435811
2022-09-14,2437770
2022-09-15,2439887
2022-09-16,2441933
2022-09-17,2444068
2022-09-18,2446282
2022-09-19,2448400
2022-09-20,2450352
2022-09-21,2452323
2022-09-22,2454367
2022-09-23,2456487
2022-09-24,2458734
2022-09-25,2461028
2022-09-26,2463188
2022-09-27,2465261
2022-09-28,2467940
2022-09-29,2470604
2022-09-30,2472675
2022-10-01,2475129
2022-10-02,2478210
2022-10-03,2481240
2022-10-04,2484348
2022-10-05,2487540
2022-10-06,2490637
2022-10-07,2493563
2022-10-08,2496995
2022-10-09,2500091
2022-10-10,2503348
2022-10-11,2505748
2022-10-12,2508165
2022-10-13,2510582
2022-10-14,2513019
2022-10-15,2515543
2022-10-16,2518253
2022-10-17,2520713
2022-10-18,2523167
2022-10-19,2525437
2022-10-20,2527475
2022-10-21,2529673
2022-10-22,2532212
2022-10-23,2534777
2022-10-24,2537119
2022-10-25,2539406
2022-10-26,2541486
2022-10-27,2543519
2022-10-28,2545760
2022-10-29,2548013
2022-10-30,2550467
2022-10-31,2552558
2022-11-01,2554696
2022-11-02,2556793
2022-11-03,2559190
2022-11-04,2561279
2022-11-05,2563601
2022-11-06,2565810
2022-11-07,2568254
2022-11-08,2570417
2022-11-09,2572548
2022-11-10,2574726
2022-11-11,2576907
2022-11-12,2579445
2022-11-13,2582098
2022-11-14,2584471
2022-11-15,2586852
2022-11-16,2589406
2022-11-17,2591964
2022-11-18,2594188
2022-11-19,2596684
2022-11-20,2599302
2022-11-21,2601319
2022-11-22,2603491
2022-11-23,2605980
2022-11-24,2608181
2022-11-25,2610554
2022-11-26,2613055
2022-11-27,2615476
2022-11-28,2617556
2022-11-29,2619728
2022-11-30,2621906
2022-12-01,2624117
2022-12-02,2626190
2022-12-03,2628463
2022-12-04,2631052
2022-12-05,2633406
2022-12-06,2635790
2022-12-07,2638249
2022-12-08,2640551
2022-12-09,2642913
2022-12-10,2645479
2022-12-11,2648168
2022-12-12,2650817
2022-12-13,2653628
2022-12-14,2656262
2022-12-15,2658971
2022-12-16,2661553
2022-12-17,2664439
2022-12-18,2667008
2022-12-19,2669411
2022-12-20,2671880
2022-12-21,2674481
2022-12-22,2677314
2022-12-23,2680564
2022-12-24,2683787
2022-12-25,2686804
2022-12-26,2689968
2022-12-27,2693338
2022-12-28,2696314
2022-12-29,2699167
2022-12-30,2701947
2022-12-31,2704828
2023-01-01,2706689
2023-01-02,2708610
2023-01-03,2711080
2023-01-04,2713792
2023-01-05,2716463
2023-01-06,2718799
2023-01-07,2721310
2023-01-08,2723653
2023-01-09,2726399
2023-01-10,2728728
2023-01-11,2731026
2023-01-12,2733503
2023-01-13,2735701
2023-01-14,2738089
2023-01-15,2740462
2023-01-16,2742624
2023-01-17,2744704
2023-01-18,2746751
2023-01-19,2748828
2023-01-20,2750893
2023-01-21,2753168
2023-01-22,2755729
2023-01-23,2758066
2023-01-24,2760447
2023-01-25,2762789
2023-01-26,2765033
2023-01-27,2767397
2023-01-28,2769956
2023-01-29,2772693
2023-01-30,2775276
2023-01-31,2777518
2023-02-01,2779690
2023-02-02,2781936
2023-02-03,2784156
2023-02-04,2786516
2023-02-05,2788983
2023-02-06,2791063
2023-02-07,2793162
2023-02-08,2795091
2023-02-09,2796910
2023-02-10,2798877
2023-02-11,2800961
2023-02-12,2803157
2023-02-13,2805139
2023-02-14,2807280
2023-02-15,2809426
2023-02-16,2811406
2023-02-17,2813312
2023-02-18,2815514
2023-02-19,2817709
2023-02-20,2819757
2023-02-21,2821812
