date,count
2022-08-24,1073291
2022-08-25,1078048
2022-08-26,1082505
2022-08-27,1087457
2022-08-28,1092374
2022-08-29,1097339
2022-08-30,1102036
2022-08-31,1106969
2022-09-01,1110943
2022-09-02,1114262
2022-09-03,1119104
2022-09-04,1123592
2022-09-05,1127091
2022-09-06,1130828
2022-09-07,1134416
2022-09-08,1137836
2022-09-09,1140992
2022-09-10,1144897
2022-09-11,1148839
2022-09-12,1151978
2022-09-13,1154888
2022-09-14,1157903
2022-09-15,1161096
2022-09-16,1164176
2022-09-17,1167961
2022-09-18,1171657
2022-09-19,1175332
2022-09-20,1178451
2022-09-21,1181481
2022-09-22,1184942
2022-09-23,1189279
2022-09-24,1193183
2022-09-25,1197765
2022-09-26,1201134
2022-09-27,1204626
2022-09-28,1208004
2022-09-29,1211776
2022-09-30,1214842
2022-10-01,1218649
2022-10-02,1223217
2022-10-03,1226825
2022-10-04,1230708
2022-10-05,1234457
2022-10-06,1238102
2022-10-07,1241464
2022-10-08,1245296
2022-10-09,1249221
2022-10-10,1253593
2022-10-11,1256897
2022-10-12,1260248
2022-10-13,1263742
2022-10-14,1266999
2022-10-15,1270743
2022-10-16,1274669
2022-10-17,1277746
2022-10-18,1280712
2022-10-19,1283591
2022-10-20,1286427
2022-10-21,1288863
2022-10-22,1292065
2022-10-23,1295369
2022-10-24,1298290
2022-10-25,1301081
2022-10-26,1303873
2022-10-27,1306588
2022-10-28,1309893
2022-10-29,1314268
2022-10-30,1318740
2022-10-31,1322264
2022-11-01,1325739
2022-11-02,1329307
2022-11-03,1333562
2022-11-04,1336907
2022-11-05,1340297
2022-11-06,1343771
2022-11-07,1347151
2022-11-08,1350166
2022-11-09,1353238
2022-11-10,1356126
2022-11-11,1359099
2022-11-12,1363720
2022-11-13,1367914
2022-11-14,1371131
2022-11-15,1374084
2022-11-16,1377160
2022-11-17,1380145
